feature_name,importance,rank
URG Flag Count,0.09931750854253714,1
Bwd Packets/s,0.09523280034749304,2
Packet Length Min,0.05769084852390371,3
Bwd Packet Length Max,0.05503818471973682,4
Bwd Packet Length Mean,0.04947775618072036,5
Avg Bwd Segment Size,0.04794662185367748,6
Bwd Packets Length Total,0.041330224770407514,7
Init Bwd Win Bytes,0.03991460637491038,8
Fwd Packet Length Min,0.03921483556619363,9
Subflow Bwd Bytes,0.03194560184057107,10
Down/Up Ratio,0.029878193353874295,11
Subflow Fwd Bytes,0.027626928277281918,12
Fwd Act Data Packets,0.027001115515710307,13
Fwd Packet Length Mean,0.025210536458020637,14
Fwd PSH Flags,0.02475142443971713,15
Init Fwd Win Bytes,0.02246338157022798,16
Avg Packet Size,0.020887438877512206,17
RST Flag Count,0.018504109566773327,18
Flow Bytes/s,0.017649276437936637,19
Bwd Packet Length Min,0.015955070729593495,20
Packet Length Mean,0.014511591330942,21
Flow IAT Max,0.013195181644948026,22
Fwd Packets Length Total,0.012935296156245432,23
ACK Flag Count,0.012511501678717665,24
Fwd Packets/s,0.011716557490693901,25
CWE Flag Count,0.011683276412318562,26
Fwd IAT Total,0.011469675514195974,27
Packet Length Variance,0.011067712751617585,28
Fwd IAT Mean,0.010420853528720549,29
Flow Packets/s,0.010119577562491561,30
Flow IAT Mean,0.009793280733747087,31
Flow IAT Std,0.009144019474775954,32
Subflow Fwd Packets,0.008268533120023404,33
Flow Duration,0.007563352086128208,34
Total Fwd Packets,0.006376647589789481,35
Avg Fwd Segment Size,0.005075850099589013,36
Packet Length Max,0.004710907838387912,37
Flow IAT Min,0.004419683082930192,38
Fwd IAT Max,0.004390320433342107,39
Fwd Packet Length Std,0.004379245383861763,40
Packet Length Std,0.004075338080329224,41
Fwd IAT Std,0.003412325208281411,42
Fwd Packet Length Max,0.003154734524140886,43
Bwd Header Length,0.0024121298870507634,44
Idle Std,0.0023247164457823365,45
Fwd Header Length,0.0021993413206114944,46
Subflow Bwd Packets,0.002150204084254444,47
Fwd IAT Min,0.0017758363950682388,48
Total Backward Packets,0.0014997686013946629,49
Fwd Seg Size Min,0.0010021455341957467,50
Active Min,0.0008087948113943966,51
Bwd IAT Max,0.0007596271162721622,52
Protocol,0.0007302859950007523,53
Bwd Packet Length Std,0.00044236729923099636,54
Bwd IAT Mean,0.000420842973030996,55
Idle Mean,0.0003630718104686429,56
Bwd IAT Total,0.0003312352419291861,57
SYN Flag Count,0.0002907636068585195,58
Active Mean,0.0002844657071989998,59
Bwd IAT Std,0.0002789944277786537,60
Active Max,0.0001973322979589438,61
Idle Max,0.00015861427089402288,62
Active Std,5.2507705519132e-05,63
Bwd IAT Min,4.799451629107009e-05,64
Idle Min,3.703427879884571e-05,65
