rank,feature_name,importance,cumulative_importance
1,URG Flag Count,0.09931750854253714,0.09931750854253714
2,Bwd Packets/s,0.09523280034749304,0.19455030889003017
3,Packet Length Min,0.05769084852390371,0.2522411574139339
4,Bwd Packet Length Max,0.05503818471973682,0.3072793421336707
5,Bwd Packet Length Mean,0.04947775618072036,0.35675709831439106
6,Avg Bwd Segment Size,0.04794662185367748,0.40470372016806855
7,Bwd Packets Length Total,0.041330224770407514,0.44603394493847603
8,Init Bwd Win Bytes,0.03991460637491038,0.48594855131338643
9,Fwd Packet Length Min,0.03921483556619363,0.5251633868795801
10,Subflow Bwd Bytes,0.03194560184057107,0.5571089887201511
11,Down/Up Ratio,0.029878193353874295,0.5869871820740254
12,Subflow Fwd Bytes,0.027626928277281918,0.6146141103513074
13,Fwd Act Data Packets,0.027001115515710307,0.6416152258670177
14,Fwd Packet Length Mean,0.025210536458020637,0.6668257623250383
15,Fwd PSH Flags,0.02475142443971713,0.6915771867647554
16,Init Fwd Win Bytes,0.02246338157022798,0.7140405683349834
17,Avg Packet Size,0.020887438877512206,0.7349280072124956
18,RST Flag Count,0.018504109566773327,0.7534321167792689
19,Flow Bytes/s,0.017649276437936637,0.7710813932172056
20,Bwd Packet Length Min,0.015955070729593495,0.787036463946799
21,Packet Length Mean,0.014511591330942,0.8015480552777411
22,Flow IAT Max,0.013195181644948026,0.8147432369226891
23,Fwd Packets Length Total,0.012935296156245432,0.8276785330789346
24,ACK Flag Count,0.012511501678717665,0.8401900347576522
25,Fwd Packets/s,0.011716557490693901,0.8519065922483461
26,CWE Flag Count,0.011683276412318562,0.8635898686606647
27,Fwd IAT Total,0.011469675514195974,0.8750595441748606
28,Packet Length Variance,0.011067712751617585,0.8861272569264782
29,Fwd IAT Mean,0.010420853528720549,0.8965481104551988
30,Flow Packets/s,0.010119577562491561,0.9066676880176904
31,Flow IAT Mean,0.009793280733747087,0.9164609687514375
32,Flow IAT Std,0.009144019474775954,0.9256049882262134
33,Subflow Fwd Packets,0.008268533120023404,0.9338735213462368
34,Flow Duration,0.007563352086128208,0.941436873432365
35,Total Fwd Packets,0.006376647589789481,0.9478135210221545
36,Avg Fwd Segment Size,0.005075850099589013,0.9528893711217435
37,Packet Length Max,0.004710907838387912,0.9576002789601314
38,Flow IAT Min,0.004419683082930192,0.9620199620430616
39,Fwd IAT Max,0.004390320433342107,0.9664102824764037
40,Fwd Packet Length Std,0.004379245383861763,0.9707895278602655
41,Packet Length Std,0.004075338080329224,0.9748648659405947
42,Fwd IAT Std,0.003412325208281411,0.9782771911488761
43,Fwd Packet Length Max,0.003154734524140886,0.981431925673017
44,Bwd Header Length,0.0024121298870507634,0.9838440555600677
45,Idle Std,0.0023247164457823365,0.9861687720058501
46,Fwd Header Length,0.0021993413206114944,0.9883681133264616
47,Subflow Bwd Packets,0.002150204084254444,0.990518317410716
48,Fwd IAT Min,0.0017758363950682388,0.9922941538057843
49,Total Backward Packets,0.0014997686013946629,0.993793922407179
50,Fwd Seg Size Min,0.0010021455341957467,0.9947960679413748
51,Active Min,0.0008087948113943966,0.9956048627527692
52,Bwd IAT Max,0.0007596271162721622,0.9963644898690414
53,Protocol,0.0007302859950007523,0.9970947758640422
54,Bwd Packet Length Std,0.00044236729923099636,0.9975371431632731
55,Bwd IAT Mean,0.000420842973030996,0.9979579861363042
56,Idle Mean,0.0003630718104686429,0.9983210579467728
57,Bwd IAT Total,0.0003312352419291861,0.9986522931887021
58,SYN Flag Count,0.0002907636068585195,0.9989430567955606
59,Active Mean,0.0002844657071989998,0.9992275225027596
60,Bwd IAT Std,0.0002789944277786537,0.9995065169305383
61,Active Max,0.0001973322979589438,0.9997038492284972
62,Idle Max,0.00015861427089402288,0.9998624634993912
63,Active Std,0.000052507705519132,0.9999149712049104
64,Bwd IAT Min,0.00004799451629107009,0.9999629657212015
65,Idle Min,0.00003703427879884571,1.0000000000000002
