file_name,attack_family,split,column_position,column_name,data_type
DNS-testing.parquet,DNS,testing,1,Protocol,int8
DNS-testing.parquet,DNS,testing,2,Flow Duration,int32
DNS-testing.parquet,DNS,testing,3,Total Fwd Packets,int16
DNS-testing.parquet,DNS,testing,4,Total Backward Packets,int16
DNS-testing.parquet,DNS,testing,5,Fwd Packets Length Total,float
DNS-testing.parquet,DNS,testing,6,Bwd Packets Length Total,float
DNS-testing.parquet,DNS,testing,7,Fwd Packet Length Max,float
DNS-testing.parquet,DNS,testing,8,Fwd Packet Length Min,float
DNS-testing.parquet,DNS,testing,9,Fwd Packet Length Mean,float
DNS-testing.parquet,DNS,testing,10,Fwd Packet Length Std,float
DNS-testing.parquet,DNS,testing,11,Bwd Packet Length Max,float
DNS-testing.parquet,DNS,testing,12,Bwd Packet Length Min,float
DNS-testing.parquet,DNS,testing,13,Bwd Packet Length Mean,float
DNS-testing.parquet,DNS,testing,14,Bwd Packet Length Std,float
DNS-testing.parquet,DNS,testing,15,Flow Bytes/s,double
DNS-testing.parquet,DNS,testing,16,Flow Packets/s,double
DNS-testing.parquet,DNS,testing,17,Flow IAT Mean,float
DNS-testing.parquet,DNS,testing,18,Flow IAT Std,float
DNS-testing.parquet,DNS,testing,19,Flow IAT Max,float
DNS-testing.parquet,DNS,testing,20,Flow IAT Min,float
DNS-testing.parquet,DNS,testing,21,Fwd IAT Total,float
DNS-testing.parquet,DNS,testing,22,Fwd IAT Mean,float
DNS-testing.parquet,DNS,testing,23,Fwd IAT Std,float
DNS-testing.parquet,DNS,testing,24,Fwd IAT Max,float
DNS-testing.parquet,DNS,testing,25,Fwd IAT Min,float
DNS-testing.parquet,DNS,testing,26,Bwd IAT Total,float
DNS-testing.parquet,DNS,testing,27,Bwd IAT Mean,float
DNS-testing.parquet,DNS,testing,28,Bwd IAT Std,float
DNS-testing.parquet,DNS,testing,29,Bwd IAT Max,float
DNS-testing.parquet,DNS,testing,30,Bwd IAT Min,float
DNS-testing.parquet,DNS,testing,31,Fwd PSH Flags,int8
DNS-testing.parquet,DNS,testing,32,Bwd PSH Flags,int8
DNS-testing.parquet,DNS,testing,33,Fwd URG Flags,int8
DNS-testing.parquet,DNS,testing,34,Bwd URG Flags,int8
DNS-testing.parquet,DNS,testing,35,Fwd Header Length,int64
DNS-testing.parquet,DNS,testing,36,Bwd Header Length,int32
DNS-testing.parquet,DNS,testing,37,Fwd Packets/s,float
DNS-testing.parquet,DNS,testing,38,Bwd Packets/s,float
DNS-testing.parquet,DNS,testing,39,Packet Length Min,float
DNS-testing.parquet,DNS,testing,40,Packet Length Max,float
DNS-testing.parquet,DNS,testing,41,Packet Length Mean,float
DNS-testing.parquet,DNS,testing,42,Packet Length Std,float
DNS-testing.parquet,DNS,testing,43,Packet Length Variance,float
DNS-testing.parquet,DNS,testing,44,FIN Flag Count,int8
DNS-testing.parquet,DNS,testing,45,SYN Flag Count,int8
DNS-testing.parquet,DNS,testing,46,RST Flag Count,int8
DNS-testing.parquet,DNS,testing,47,PSH Flag Count,int8
DNS-testing.parquet,DNS,testing,48,ACK Flag Count,int8
DNS-testing.parquet,DNS,testing,49,URG Flag Count,int8
DNS-testing.parquet,DNS,testing,50,CWE Flag Count,int8
DNS-testing.parquet,DNS,testing,51,ECE Flag Count,int8
DNS-testing.parquet,DNS,testing,52,Down/Up Ratio,float
DNS-testing.parquet,DNS,testing,53,Avg Packet Size,float
DNS-testing.parquet,DNS,testing,54,Avg Fwd Segment Size,float
DNS-testing.parquet,DNS,testing,55,Avg Bwd Segment Size,float
DNS-testing.parquet,DNS,testing,56,Fwd Avg Bytes/Bulk,int8
DNS-testing.parquet,DNS,testing,57,Fwd Avg Packets/Bulk,int8
DNS-testing.parquet,DNS,testing,58,Fwd Avg Bulk Rate,int8
DNS-testing.parquet,DNS,testing,59,Bwd Avg Bytes/Bulk,int8
DNS-testing.parquet,DNS,testing,60,Bwd Avg Packets/Bulk,int8
DNS-testing.parquet,DNS,testing,61,Bwd Avg Bulk Rate,int8
DNS-testing.parquet,DNS,testing,62,Subflow Fwd Packets,int16
DNS-testing.parquet,DNS,testing,63,Subflow Fwd Bytes,int32
DNS-testing.parquet,DNS,testing,64,Subflow Bwd Packets,int16
DNS-testing.parquet,DNS,testing,65,Subflow Bwd Bytes,int32
DNS-testing.parquet,DNS,testing,66,Init Fwd Win Bytes,int32
DNS-testing.parquet,DNS,testing,67,Init Bwd Win Bytes,int32
DNS-testing.parquet,DNS,testing,68,Fwd Act Data Packets,int16
DNS-testing.parquet,DNS,testing,69,Fwd Seg Size Min,int32
DNS-testing.parquet,DNS,testing,70,Active Mean,float
DNS-testing.parquet,DNS,testing,71,Active Std,float
DNS-testing.parquet,DNS,testing,72,Active Max,float
DNS-testing.parquet,DNS,testing,73,Active Min,float
DNS-testing.parquet,DNS,testing,74,Idle Mean,float
DNS-testing.parquet,DNS,testing,75,Idle Std,float
DNS-testing.parquet,DNS,testing,76,Idle Max,float
DNS-testing.parquet,DNS,testing,77,Idle Min,float
DNS-testing.parquet,DNS,testing,78,Label,"dictionary<values=string, indices=int8, ordered=0>"
LDAP-testing.parquet,LDAP,testing,1,Protocol,int8
LDAP-testing.parquet,LDAP,testing,2,Flow Duration,int32
LDAP-testing.parquet,LDAP,testing,3,Total Fwd Packets,int16
LDAP-testing.parquet,LDAP,testing,4,Total Backward Packets,int16
LDAP-testing.parquet,LDAP,testing,5,Fwd Packets Length Total,float
