scope,file_name,column_name,unique_count,constant_value,min_value,max_value,variance,is_constant,is_globally_constant,read_status,error
global,ALL_FILES,Protocol,,,,,,False,False,ok,
global,ALL_FILES,Flow Duration,,,,,,False,False,ok,
global,ALL_FILES,Total Fwd Packets,,,,,,False,False,ok,
global,ALL_FILES,Total Backward Packets,,,,,,False,False,ok,
global,ALL_FILES,Fwd Packets Length Total,,,,,,False,False,ok,
global,ALL_FILES,Bwd Packets Length Total,,,,,,False,False,ok,
global,ALL_FILES,Fwd Packet Length Max,,,,,,False,False,ok,
global,ALL_FILES,Fwd Packet Length Min,,,,,,False,False,ok,
global,ALL_FILES,Fwd Packet Length Mean,,,,,,False,False,ok,
global,ALL_FILES,Fwd Packet Length Std,,,,,,False,False,ok,
global,ALL_FILES,Bwd Packet Length Max,,,,,,False,False,ok,
global,ALL_FILES,Bwd Packet Length Min,,,,,,False,False,ok,
global,ALL_FILES,Bwd Packet Length Mean,,,,,,False,False,ok,
global,ALL_FILES,Bwd Packet Length Std,,,,,,False,False,ok,
global,ALL_FILES,Flow Bytes/s,,,,,,False,False,ok,
global,ALL_FILES,Flow Packets/s,,,,,,False,False,ok,
global,ALL_FILES,Flow IAT Mean,,,,,,False,False,ok,
global,ALL_FILES,Flow IAT Std,,,,,,False,False,ok,
global,ALL_FILES,Flow IAT Max,,,,,,False,False,ok,
global,ALL_FILES,Flow IAT Min,,,,,,False,False,ok,
global,ALL_FILES,Fwd IAT Total,,,,,,False,False,ok,
global,ALL_FILES,Fwd IAT Mean,,,,,,False,False,ok,
global,ALL_FILES,Fwd IAT Std,,,,,,False,False,ok,
global,ALL_FILES,Fwd IAT Max,,,,,,False,False,ok,
global,ALL_FILES,Fwd IAT Min,,,,,,False,False,ok,
global,ALL_FILES,Bwd IAT Total,,,,,,False,False,ok,
global,ALL_FILES,Bwd IAT Mean,,,,,,False,False,ok,
global,ALL_FILES,Bwd IAT Std,,,,,,False,False,ok,
global,ALL_FILES,Bwd IAT Max,,,,,,False,False,ok,
global,ALL_FILES,Bwd IAT Min,,,,,,False,False,ok,
global,ALL_FILES,Fwd PSH Flags,,,,,,False,False,ok,
global,ALL_FILES,Bwd PSH Flags,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Fwd URG Flags,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Bwd URG Flags,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Fwd Header Length,,,,,,False,False,ok,
global,ALL_FILES,Bwd Header Length,,,,,,False,False,ok,
global,ALL_FILES,Fwd Packets/s,,,,,,False,False,ok,
global,ALL_FILES,Bwd Packets/s,,,,,,False,False,ok,
global,ALL_FILES,Packet Length Min,,,,,,False,False,ok,
global,ALL_FILES,Packet Length Max,,,,,,False,False,ok,
global,ALL_FILES,Packet Length Mean,,,,,,False,False,ok,
global,ALL_FILES,Packet Length Std,,,,,,False,False,ok,
global,ALL_FILES,Packet Length Variance,,,,,,False,False,ok,
global,ALL_FILES,FIN Flag Count,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,SYN Flag Count,,,,,,False,False,ok,
global,ALL_FILES,RST Flag Count,,,,,,False,False,ok,
global,ALL_FILES,PSH Flag Count,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,ACK Flag Count,,,,,,False,False,ok,
global,ALL_FILES,URG Flag Count,,,,,,False,False,ok,
global,ALL_FILES,CWE Flag Count,,,,,,False,False,ok,
global,ALL_FILES,ECE Flag Count,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Down/Up Ratio,,,,,,False,False,ok,
global,ALL_FILES,Avg Packet Size,,,,,,False,False,ok,
global,ALL_FILES,Avg Fwd Segment Size,,,,,,False,False,ok,
global,ALL_FILES,Avg Bwd Segment Size,,,,,,False,False,ok,
global,ALL_FILES,Fwd Avg Bytes/Bulk,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Fwd Avg Packets/Bulk,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Fwd Avg Bulk Rate,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Bwd Avg Bytes/Bulk,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Bwd Avg Packets/Bulk,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Bwd Avg Bulk Rate,1,0.0,0.0,0.0,0.0,True,True,ok,
global,ALL_FILES,Subflow Fwd Packets,,,,,,False,False,ok,
global,ALL_FILES,Subflow Fwd Bytes,,,,,,False,False,ok,
global,ALL_FILES,Subflow Bwd Packets,,,,,,False,False,ok,
global,ALL_FILES,Subflow Bwd Bytes,,,,,,False,False,ok,
global,ALL_FILES,Init Fwd Win Bytes,,,,,,False,False,ok,
global,ALL_FILES,Init Bwd Win Bytes,,,,,,False,False,ok,
global,ALL_FILES,Fwd Act Data Packets,,,,,,False,False,ok,
global,ALL_FILES,Fwd Seg Size Min,,,,,,False,False,ok,
global,ALL_FILES,Active Mean,,,,,,False,False,ok,
global,ALL_FILES,Active Std,,,,,,False,False,ok,
global,ALL_FILES,Active Max,,,,,,False,False,ok,
global,ALL_FILES,Active Min,,,,,,False,False,ok,
global,ALL_FILES,Idle Mean,,,,,,False,False,ok,
global,ALL_FILES,Idle Std,,,,,,False,False,ok,
global,ALL_FILES,Idle Max,,,,,,False,False,ok,
global,ALL_FILES,Idle Min,,,,,,False,False,ok,
file,DNS-testing.parquet,Protocol,3,,0.0,17.0,25.862513615283,False,False,ok,
file,DNS-testing.parquet,Flow Duration,2263,,1.0,119981035.0,395407608911740.2,False,False,ok,
file,DNS-testing.parquet,Total Fwd Packets,88,,1.0,5063.0,8218.59855977968,False,False,ok,
file,DNS-testing.parquet,Total Backward Packets,90,,0.0,4602.0,6491.353896350671,False,False,ok,
file,DNS-testing.parquet,Fwd Packets Length Total,865,,0.0,15266416.0,51395874816.0,False,False,ok,
file,DNS-testing.parquet,Bwd Packets Length Total,378,,0.0,10993758.0,35368124416.0,False,False,ok,
file,DNS-testing.parquet,Fwd Packet Length Max,737,,0.0,32120.0,641136.4375,False,False,ok,
file,DNS-testing.parquet,Fwd Packet Length Min,590,,0.0,2020.0,397288.46875,False,False,ok,
file,DNS-testing.parquet,Fwd Packet Length Mean,948,,0.0,3015.29052734375,389065.15625,False,False,ok,
file,DNS-testing.parquet,Fwd Packet Length Std,385,,0.0,2221.55615234375,8333.5302734375,False,False,ok,
file,DNS-testing.parquet,Bwd Packet Length Max,199,,0.0,33580.0,609239.0,False,False,ok,
file,DNS-testing.parquet,Bwd Packet Length Min,118,,0.0,378.0,1650.054321289062,False,False,ok,
file,DNS-testing.parquet,Bwd Packet Length Mean,420,,0.0,3269.7666015625,23577.314453125,False,False,ok,
file,DNS-testing.parquet,Bwd Packet Length Std,317,,0.0,2848.74267578125,26893.1875,False,False,ok,
file,DNS-testing.parquet,Flow Bytes/s,3381,,0.0,2944000000.0,8.8582265702508e+17,False,False,ok,
file,DNS-testing.parquet,Flow Packets/s,2365,,0.0784254296442399,3000000.0,698186130281.4567,False,False,ok,
file,DNS-testing.parquet,Flow IAT Mean,2317,,0.5,15301159.0,787035717632.0,False,False,ok,
file,DNS-testing.parquet,Flow IAT Std,2310,,0.0,32054022.0,5841163386880.0,False,False,ok,
file,DNS-testing.parquet,Flow IAT Max,2241,,1.0,119938432.0,87793132896256.0,False,False,ok,
file,DNS-testing.parquet,Flow IAT Min,301,,0.0,10493465.0,22501179392.0,False,False,ok,
file,DNS-testing.parquet,Fwd IAT Total,1145,,0.0,119981032.0,388389362728960.0,False,False,ok,
file,DNS-testing.parquet,Fwd IAT Mean,1173,,0.0,28077142.0,1721960890368.0,False,False,ok,
file,DNS-testing.parquet,Fwd IAT Std,1035,,0.0,48631032.0,9019112554496.0,False,False,ok,
file,DNS-testing.parquet,Fwd IAT Max,1127,,0.0,119938432.0,86109153394688.0,False,False,ok,
file,DNS-testing.parquet,Fwd IAT Min,188,,0.0,10493465.0,22458812416.0,False,False,ok,
file,DNS-testing.parquet,Bwd IAT Total,683,,0.0,119714616.0,275127065378816.0,False,False,ok,
file,DNS-testing.parquet,Bwd IAT Mean,693,,0.0,28077124.0,1695254577152.0,False,False,ok,
file,DNS-testing.parquet,Bwd IAT Std,662,,0.0,48631000.0,7515534786560.0,False,False,ok,
file,DNS-testing.parquet,Bwd IAT Max,674,,0.0,84231368.0,63406887403520.0,False,False,ok,
file,DNS-testing.parquet,Bwd IAT Min,38,,0.0,238.0,39.395233154297,False,False,ok,
file,DNS-testing.parquet,Fwd PSH Flags,2,,0.0,1.0,0.054665804025,False,False,ok,
file,DNS-testing.parquet,Bwd PSH Flags,1,0.0,0.0,0.0,0.0,True,True,ok,
file,DNS-testing.parquet,Fwd URG Flags,1,0.0,0.0,0.0,0.0,True,True,ok,
file,DNS-testing.parquet,Bwd URG Flags,1,0.0,0.0,0.0,0.0,True,True,ok,
file,DNS-testing.parquet,Fwd Header Length,652,,-212543795000.0,101260.0,3.442393856472752e+19,False,False,ok,
file,DNS-testing.parquet,Bwd Header Length,161,,-2125437950.0,147280.0,2694191352268194.5,False,False,ok,
file,DNS-testing.parquet,Fwd Packets/s,2356,,0.0234159417450428,3000000.0,695657496576.0,False,False,ok,
file,DNS-testing.parquet,Bwd Packets/s,1914,,0.0,2000000.0,3083540480.0,False,False,ok,
file,DNS-testing.parquet,Packet Length Min,587,,0.0,1472.0,397137.09375,False,False,ok,
file,DNS-testing.parquet,Packet Length Max,727,,0.0,33580.0,1094228.125,False,False,ok,
file,DNS-testing.parquet,Packet Length Mean,1131,,0.0,2662.26513671875,381975.03125,False,False,ok,
file,DNS-testing.parquet,Packet Length Std,516,,0.0,2866.280517578125,22417.205078125,False,False,ok,
file,DNS-testing.parquet,Packet Length Variance,516,,0.0,8215564.0,31852699648.0,False,False,ok,
file,DNS-testing.parquet,FIN Flag Count,1,0.0,0.0,0.0,0.0,True,True,ok,
file,DNS-testing.parquet,SYN Flag Count,2,,0.0,1.0,0.001043217938,False,False,ok,
file,DNS-testing.parquet,RST Flag Count,2,,0.0,1.0,0.054665804025,False,False,ok,
file,DNS-testing.parquet,PSH Flag Count,1,0.0,0.0,0.0,0.0,True,True,ok,
file,DNS-testing.parquet,ACK Flag Count,2,,0.0,1.0,0.07130681275,False,False,ok,
