feature,Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,SYN Flag Count,RST Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
Protocol,1.0,-0.548887,0.161221,-0.157728,0.067919,-0.049985,0.399812,0.648195,0.673568,-0.170428,-0.224562,0.098179,-0.194807,-0.263699,0.12972,0.055434,-0.472568,-0.509781,-0.498124,-0.010971,-0.544271,-0.520376,-0.511779,-0.492395,-0.008485,-0.356358,-0.361913,-0.371731,-0.366318,-0.173768,-0.265302,-0.026054,-0.011947,0.061961,-0.091594,0.652185,0.119488,0.642223,-0.22108,-0.113842,-0.038063,-0.265302,-0.740436,-0.515755,-0.362644,-0.324251,0.578524,0.673568,-0.194807,0.161221,0.067919,-0.157728,-0.049985,-0.482038,-0.23032,0.191187,-0.091848,-0.14668,-0.183235,-0.1968,-0.086169,-0.49494,-0.390447,-0.524753,-0.439139
Flow Duration,-0.548887,1.0,-0.03153,0.251372,-0.044102,0.075156,-0.087248,-0.33812,-0.345753,0.21388,0.275589,-0.067268,0.185086,0.279173,-0.087133,-0.119771,0.673492,0.785101,0.86522,0.022818,0.999386,0.759655,0.816637,0.864998,0.023425,0.787809,0.575194,0.645582,0.718574,0.02363,0.017003,0.015358,0.006783,-0.118706,-0.0226,-0.338329,0.088062,-0.316417,0.239825,0.094956,-0.009112,0.017003,0.645321,-0.066599,-0.088135,-0.062921,-0.290928,-0.345753,0.185086,-0.03153,-0.044102,0.251372,0.075156,0.306434,-0.004132,-0.074487,0.040326,0.216927,0.338942,0.331502,0.090711,0.838807,0.551622,0.867725,0.77077
Total Fwd Packets,0.161221,-0.03153,1.0,0.262045,0.667966,0.13805,0.304839,0.096807,0.144524,0.077145,0.062975,-0.112533,0.04334,0.052015,-0.056427,-0.060694,-0.148422,-0.130409,-0.053409,-0.006383,-0.030646,-0.135946,-0.114932,-0.052075,-0.005677,0.031272,-0.043921,-0.030508,0.008118,-0.069921,-0.056114,-0.067551,0.00745,-0.059207,-0.025209,0.097805,0.229993,0.158721,0.084644,0.111145,-0.009905,-0.056114,-0.09864,-0.122713,-0.10023,-0.141184,0.051314,0.144524,0.04334,1.0,0.667966,0.262045,0.13805,-0.048251,-0.044907,0.986558,0.033677,0.000404,0.010484,0.007031,-0.004793,-0.01481,-0.048148,-0.024487,-0.003517
Total Backward Packets,-0.157728,0.251372,0.262045,1.0,0.189816,0.837462,0.184345,-0.118252,-0.090403,0.237955,0.57024,0.003256,0.501696,0.447761,-0.024522,-0.033175,0.014398,0.083131,0.244916,-0.001791,0.249651,0.043941,0.111257,0.243184,-0.001663,0.320828,0.079149,0.12744,0.25616,0.009806,0.019862,0.004713,-0.001905,-0.033267,-0.000632,-0.118661,0.518639,0.04342,0.503381,0.58598,-0.001293,0.019862,0.179878,0.011861,-0.002403,0.118032,0.013443,-0.090403,0.501696,0.262045,0.189816,1.0,0.837462,0.210586,0.032244,0.140376,0.016326,0.11318,0.133442,0.142277,0.065765,0.246952,0.084241,0.234246,0.250074
Fwd Packets Length Total,0.067919,-0.044102,0.667966,0.189816,1.0,-0.000425,0.439656,0.046459,0.102454,0.128726,-0.009669,-0.03654,-0.01977,-0.01084,-0.012067,-0.014697,-0.061109,-0.06061,-0.046342,-0.001945,-0.043734,-0.060177,-0.057508,-0.045848,-0.001733,-0.021071,-0.029049,-0.028286,-0.02461,-0.02455,-0.020693,-0.021692,0.00262,-0.014236,-0.007581,0.046705,0.264622,0.091521,0.068474,0.109532,-0.003222,-0.020693,-0.057201,-0.02739,-0.030705,-0.050345,0.050182,0.102454,-0.01977,0.667966,1.0,0.189816,-0.000425,-0.034708,-0.003472,0.67584,0.008386,-0.010595,-0.01108,-0.012167,-0.007023,-0.034517,-0.030277,-0.037361,-0.029768
Bwd Packets Length Total,-0.049985,0.075156,0.13805,0.837462,-0.000425,1.0,0.044614,-0.034187,-0.030591,0.061895,0.593405,-0.004456,0.422693,0.386379,-0.006991,-0.009621,-0.010452,0.00876,0.088246,-0.000538,0.07469,-0.00605,0.018415,0.087762,-0.000489,0.091729,0.001168,0.016985,0.071877,-0.000856,0.001053,0.001352,0.000286,-0.009545,-0.001666,-0.034232,0.51966,0.106904,0.421197,0.803375,-0.000738,0.001053,0.063704,-0.004978,-0.004922,0.069884,0.073776,-0.030591,0.422693,0.13805,-0.000425,0.837462,1.0,0.124321,0.001755,0.036277,0.004746,0.032044,0.031525,0.035455,0.021006,0.073741,0.009765,0.065623,0.078882
Fwd Packet Length Max,0.399812,-0.087248,0.304839,0.184345,0.439656,0.044614,1.0,0.652167,0.768302,0.504344,0.198173,-0.240583,0.108154,0.229312,0.373464,0.200496,-0.239262,-0.186791,-0.075259,-0.000406,-0.08605,-0.245411,-0.162887,-0.073295,0.00122,0.088339,-0.152516,-0.102049,-0.003696,-0.163154,-0.092394,-0.013033,0.018132,0.205292,-0.057817,0.647477,0.679991,0.767863,0.323826,0.175768,-0.024299,-0.092394,-0.254488,-0.262315,-0.227959,-0.303235,0.743253,0.768302,0.108154,0.304839,0.439656,0.184345,0.044614,-0.064453,-0.047367,0.297134,-0.076099,-0.012019,-0.023429,-0.017944,-0.004617,-0.069935,-0.169204,-0.102196,-0.029906
Fwd Packet Length Min,0.648195,-0.33812,0.096807,-0.118252,0.046459,-0.034187,0.652167,1.0,0.956262,-0.206552,-0.172314,-0.250743,-0.215113,-0.177178,0.506499,0.291376,-0.247168,-0.278831,-0.299665,0.003411,-0.334862,-0.292637,-0.288173,-0.295474,0.00508,-0.240453,-0.242104,-0.249486,-0.247573,-0.188141,-0.168732,-0.020154,0.01838,0.296707,-0.060191,0.995965,0.307162,0.922161,-0.221379,-0.07448,-0.025235,-0.168732,-0.490977,-0.338439,-0.236418,-0.390819,0.932409,0.956262,-0.215113,0.096807,0.046459,-0.118252,-0.034187,-0.318863,-0.14898,0.11492,-0.121901,-0.102227,-0.122042,-0.132103,-0.06171,-0.327374,-0.256655,-0.346658,-0.29106
Fwd Packet Length Mean,0.673568,-0.345753,0.144524,-0.090403,0.102454,-0.030591,0.768302,0.956262,1.0,0.001162,-0.12276,-0.28108,-0.179663,-0.117535,0.502888,0.286288,-0.298096,-0.31679,-0.309585,0.001574,-0.3426,-0.338283,-0.319148,-0.305469,0.003458,-0.216589,-0.25693,-0.254984,-0.237532,-0.206783,-0.158452,-0.021484,0.020891,0.292104,-0.067549,0.951365,0.397635,0.96566,-0.09306,-0.031119,-0.028321,-0.158452,-0.505364,-0.355576,-0.26546,-0.425194,0.956187,1.0,-0.179663,0.144524,0.102454,-0.090403,-0.030591,-0.303848,-0.143021,0.16135,-0.113746,-0.098439,-0.11805,-0.124986,-0.058886,-0.325517,-0.272603,-0.349035,-0.28428
Fwd Packet Length Std,-0.170428,0.21388,0.077145,0.237955,0.128726,0.061895,0.504344,-0.206552,0.001162,1.0,0.458261,-0.058475,0.383128,0.523809,-0.033321,-0.030393,-0.074695,0.027512,0.187925,-0.004768,0.211511,-0.033975,0.068994,0.185484,-0.004251,0.347129,0.046967,0.118452,0.23288,-0.019805,0.105826,0.006432,0.005575,-0.029424,-0.015886,-0.209544,0.505655,0.033654,0.717356,0.290807,-0.006734,0.105826,0.188194,0.02678,-0.063052,-0.003023,-0.002377,0.001162,0.383128,0.077145,0.128726,0.237955,0.061895,0.283305,0.116536,0.051836,0.028668,0.087859,0.091584,0.116942,0.059279,0.224571,0.037242,0.203544,0.239462
