file_name,relative_path,attack_family,split,row_count,column_count,read_status,error
DNS-testing.parquet,data\raw\DNS-testing.parquet,DNS,testing,6703,78,ok,
LDAP-testing.parquet,data\raw\LDAP-testing.parquet,LDAP,testing,2831,78,ok,
LDAP-training.parquet,data\raw\LDAP-training.parquet,LDAP,training,6715,78,ok,
MSSQL-testing.parquet,data\raw\MSSQL-testing.parquet,MSSQL,testing,8083,78,ok,
MSSQL-training.parquet,data\raw\MSSQL-training.parquet,MSSQL,training,10974,78,ok,
NetBIOS-testing.parquet,data\raw\NetBIOS-testing.parquet,NetBIOS,testing,2225,78,ok,
NetBIOS-training.parquet,data\raw\NetBIOS-training.parquet,NetBIOS,training,1631,78,ok,
NTP-testing.parquet,data\raw\NTP-testing.parquet,NTP,testing,134674,78,ok,
Portmap-training.parquet,data\raw\Portmap-training.parquet,Portmap,training,5105,78,ok,
SNMP-testing.parquet,data\raw\SNMP-testing.parquet,SNMP,testing,4018,78,ok,
Syn-testing.parquet,data\raw\Syn-testing.parquet,Syn,testing,907,78,ok,
Syn-training.parquet,data\raw\Syn-training.parquet,Syn,training,70336,78,ok,
TFTP-testing.parquet,data\raw\TFTP-testing.parquet,TFTP,testing,121833,78,ok,
UDP-testing.parquet,data\raw\UDP-testing.parquet,UDP,testing,12462,78,ok,
UDP-training.parquet,data\raw\UDP-training.parquet,UDP,training,17770,78,ok,
UDPLag-testing.parquet,data\raw\UDPLag-testing.parquet,UDPLag,testing,12465,78,ok,
UDPLag-training.parquet,data\raw\UDPLag-training.parquet,UDPLag,training,12639,78,ok,
