file_index,file_name,relative_path,attack_family_from_filename,split_from_filename,extension,size_bytes,size_mb,modified_time
1,DNS-testing.parquet,data\raw\DNS-testing.parquet,DNS,testing,.parquet,510829,0.487164,2026-08-09T13:05:14
2,LDAP-testing.parquet,data\raw\LDAP-testing.parquet,LDAP,testing,.parquet,224356,0.213963,2026-08-09T13:05:14
3,LDAP-training.parquet,data\raw\LDAP-training.parquet,LDAP,training,.parquet,619804,0.591091,2026-08-09T13:05:14
4,MSSQL-testing.parquet,data\raw\MSSQL-testing.parquet,MSSQL,testing,.parquet,421867,0.402324,2026-08-09T13:05:14
5,MSSQL-training.parquet,data\raw\MSSQL-training.parquet,MSSQL,training,.parquet,581337,0.554406,2026-08-09T13:05:14
6,NetBIOS-testing.parquet,data\raw\NetBIOS-testing.parquet,NetBIOS,testing,.parquet,253946,0.242182,2026-08-09T13:05:14
7,NetBIOS-training.parquet,data\raw\NetBIOS-training.parquet,NetBIOS,training,.parquet,223235,0.212893,2026-08-09T13:05:14
8,NTP-testing.parquet,data\raw\NTP-testing.parquet,NTP,testing,.parquet,9486078,9.046629,2026-08-09T13:05:14
9,Portmap-training.parquet,data\raw\Portmap-training.parquet,Portmap,training,.parquet,570907,0.544459,2026-08-09T13:05:14
10,SNMP-testing.parquet,data\raw\SNMP-testing.parquet,SNMP,testing,.parquet,268917,0.256459,2026-08-09T13:05:14
11,Syn-testing.parquet,data\raw\Syn-testing.parquet,Syn,testing,.parquet,137770,0.131388,2026-08-09T13:05:14
12,Syn-training.parquet,data\raw\Syn-training.parquet,Syn,training,.parquet,8608068,8.209293,2026-08-09T13:05:14
13,TFTP-testing.parquet,data\raw\TFTP-testing.parquet,TFTP,testing,.parquet,8245759,7.863769,2026-08-09T13:05:14
14,UDP-testing.parquet,data\raw\UDP-testing.parquet,UDP,testing,.parquet,999264,0.952972,2026-08-09T13:05:14
15,UDP-training.parquet,data\raw\UDP-training.parquet,UDP,training,.parquet,1384962,1.320803,2026-08-09T13:05:14
16,UDPLag-testing.parquet,data\raw\UDPLag-testing.parquet,UDPLag,testing,.parquet,1269445,1.210637,2026-08-09T13:05:14
17,UDPLag-training.parquet,data\raw\UDPLag-training.parquet,UDPLag,training,.parquet,1429551,1.363326,2026-08-09T13:05:14
