file_name,label_column,label,row_count,percentage,label_category,traffic_categories_in_file,read_status,error
DNS-testing.parquet,Label,Benign,3034,45.263315,benign_traffic,benign_traffic; ddos_traffic,ok,
DNS-testing.parquet,Label,DrDoS_DNS,3669,54.736685,ddos_traffic,benign_traffic; ddos_traffic,ok,
LDAP-testing.parquet,Label,Benign,1391,49.134581,benign_traffic,benign_traffic; ddos_traffic,ok,
LDAP-testing.parquet,Label,DrDoS_LDAP,1440,50.865419,ddos_traffic,benign_traffic; ddos_traffic,ok,
LDAP-training.parquet,Label,Benign,4585,68.27997,benign_traffic,benign_traffic; ddos_traffic,ok,
LDAP-training.parquet,Label,LDAP,1884,28.05659,ddos_traffic,benign_traffic; ddos_traffic,ok,
LDAP-training.parquet,Label,NetBIOS,246,3.66344,ddos_traffic,benign_traffic; ddos_traffic,ok,
MSSQL-testing.parquet,Label,Benign,1871,23.147346,benign_traffic,benign_traffic; ddos_traffic,ok,
MSSQL-testing.parquet,Label,DrDoS_MSSQL,6212,76.852654,ddos_traffic,benign_traffic; ddos_traffic,ok,
MSSQL-training.parquet,Label,Benign,2574,23.45544,benign_traffic,benign_traffic; ddos_traffic,ok,
MSSQL-training.parquet,Label,LDAP,22,0.200474,ddos_traffic,benign_traffic; ddos_traffic,ok,
MSSQL-training.parquet,Label,MSSQL,8378,76.344086,ddos_traffic,benign_traffic; ddos_traffic,ok,
NetBIOS-testing.parquet,Label,Benign,1627,73.123596,benign_traffic,benign_traffic; ddos_traffic,ok,
NetBIOS-testing.parquet,Label,DrDoS_NetBIOS,598,26.876404,ddos_traffic,benign_traffic; ddos_traffic,ok,
NetBIOS-training.parquet,Label,Benign,1233,75.597793,benign_traffic,benign_traffic; ddos_traffic,ok,
NetBIOS-training.parquet,Label,NetBIOS,398,24.402207,ddos_traffic,benign_traffic; ddos_traffic,ok,
NTP-testing.parquet,Label,Benign,13306,9.880155,benign_traffic,benign_traffic; ddos_traffic,ok,
NTP-testing.parquet,Label,DrDoS_NTP,121368,90.119845,ddos_traffic,benign_traffic; ddos_traffic,ok,
Portmap-training.parquet,Label,Benign,4420,86.581783,benign_traffic,benign_traffic; ddos_traffic,ok,
Portmap-training.parquet,Label,Portmap,685,13.418217,ddos_traffic,benign_traffic; ddos_traffic,ok,
SNMP-testing.parquet,Label,Benign,1301,32.379293,benign_traffic,benign_traffic; ddos_traffic,ok,
SNMP-testing.parquet,Label,DrDoS_SNMP,2717,67.620707,ddos_traffic,benign_traffic; ddos_traffic,ok,
Syn-testing.parquet,Label,Benign,374,41.23484,benign_traffic,benign_traffic; ddos_traffic,ok,
Syn-testing.parquet,Label,Syn,533,58.76516,ddos_traffic,benign_traffic; ddos_traffic,ok,
Syn-training.parquet,Label,Benign,27034,38.43551,benign_traffic,benign_traffic; ddos_traffic,ok,
Syn-training.parquet,Label,Syn,43302,61.56449,ddos_traffic,benign_traffic; ddos_traffic,ok,
TFTP-testing.parquet,Label,Benign,22916,18.809354,benign_traffic,benign_traffic; ddos_traffic,ok,
TFTP-testing.parquet,Label,TFTP,98917,81.190646,ddos_traffic,benign_traffic; ddos_traffic,ok,
UDP-testing.parquet,Label,Benign,2042,16.385813,benign_traffic,benign_traffic; ddos_traffic,ok,
UDP-testing.parquet,Label,DrDoS_UDP,10420,83.614187,ddos_traffic,benign_traffic; ddos_traffic,ok,
UDP-training.parquet,Label,Benign,2833,15.9426,benign_traffic,benign_traffic; ddos_traffic,ok,
UDP-training.parquet,Label,MSSQL,145,0.815982,ddos_traffic,benign_traffic; ddos_traffic,ok,
UDP-training.parquet,Label,UDP,14792,83.241418,ddos_traffic,benign_traffic; ddos_traffic,ok,
UDPLag-testing.parquet,Label,Benign,3542,28.415564,benign_traffic,benign_traffic; ddos_traffic,ok,
UDPLag-testing.parquet,Label,UDP-lag,8872,71.175291,ddos_traffic,benign_traffic; ddos_traffic,ok,
UDPLag-testing.parquet,Label,WebDDoS,51,0.409146,ddos_traffic,benign_traffic; ddos_traffic,ok,
UDPLag-training.parquet,Label,Benign,3748,29.654245,benign_traffic,benign_traffic; ddos_traffic,ok,
UDPLag-training.parquet,Label,Syn,5538,43.816758,ddos_traffic,benign_traffic; ddos_traffic,ok,
UDPLag-training.parquet,Label,UDP,3298,26.093837,ddos_traffic,benign_traffic; ddos_traffic,ok,
UDPLag-training.parquet,Label,UDPLag,55,0.435161,ddos_traffic,benign_traffic; ddos_traffic,ok,
