file_name,split,label,row_count
DNS-testing.parquet,testing,Benign,3034
DNS-testing.parquet,testing,DrDoS_DNS,3669
LDAP-testing.parquet,testing,Benign,1391
LDAP-testing.parquet,testing,DrDoS_LDAP,1440
LDAP-training.parquet,training,Benign,4585
LDAP-training.parquet,training,LDAP,1884
LDAP-training.parquet,training,NetBIOS,246
MSSQL-testing.parquet,testing,Benign,1871
MSSQL-testing.parquet,testing,DrDoS_MSSQL,6212
MSSQL-training.parquet,training,Benign,2574
MSSQL-training.parquet,training,LDAP,22
MSSQL-training.parquet,training,MSSQL,8378
NetBIOS-testing.parquet,testing,Benign,1627
NetBIOS-testing.parquet,testing,DrDoS_NetBIOS,598
NetBIOS-training.parquet,training,Benign,1233
NetBIOS-training.parquet,training,NetBIOS,398
NTP-testing.parquet,testing,Benign,13306
NTP-testing.parquet,testing,DrDoS_NTP,121368
Portmap-training.parquet,training,Benign,4420
Portmap-training.parquet,training,Portmap,685
SNMP-testing.parquet,testing,Benign,1301
SNMP-testing.parquet,testing,DrDoS_SNMP,2717
Syn-testing.parquet,testing,Benign,374
Syn-testing.parquet,testing,Syn,533
Syn-training.parquet,training,Benign,27034
Syn-training.parquet,training,Syn,43302
TFTP-testing.parquet,testing,Benign,22916
TFTP-testing.parquet,testing,TFTP,98917
UDP-testing.parquet,testing,Benign,2042
UDP-testing.parquet,testing,DrDoS_UDP,10420
UDP-training.parquet,training,Benign,2833
UDP-training.parquet,training,MSSQL,145
UDP-training.parquet,training,UDP,14792
UDPLag-testing.parquet,testing,Benign,3542
UDPLag-testing.parquet,testing,UDP-lag,8872
UDPLag-testing.parquet,testing,WebDDoS,51
UDPLag-training.parquet,training,Benign,3748
UDPLag-training.parquet,training,Syn,5538
UDPLag-training.parquet,training,UDP,3298
UDPLag-training.parquet,training,UDPLag,55
