column_name,data_type,files_using_data_type,file_count,all_data_types_for_column,type_difference_category
Bwd Header Length,int16,NetBIOS-training.parquet; Syn-testing.parquet; UDPLag-testing.parquet; UDPLag-training.parquet,4,int16; int32; int64,integer_types
Bwd Header Length,int32,DNS-testing.parquet; LDAP-testing.parquet; MSSQL-testing.parquet; NTP-testing.parquet; NetBIOS-testing.parquet; Portmap-training.parquet; SNMP-testing.parquet; Syn-training.parquet; TFTP-testing.parquet; UDP-testing.parquet; UDP-training.parquet,11,int16; int32; int64,integer_types
Bwd Header Length,int64,LDAP-training.parquet; MSSQL-training.parquet,2,int16; int32; int64,integer_types
Fwd Act Data Packets,int16,DNS-testing.parquet; LDAP-training.parquet; MSSQL-training.parquet; NTP-testing.parquet; NetBIOS-training.parquet; Portmap-training.parquet; Syn-training.parquet; UDP-training.parquet; UDPLag-training.parquet,9,int16; int8,integer_types
Fwd Act Data Packets,int8,LDAP-testing.parquet; MSSQL-testing.parquet; NetBIOS-testing.parquet; SNMP-testing.parquet; Syn-testing.parquet; TFTP-testing.parquet; UDP-testing.parquet; UDPLag-testing.parquet,8,int16; int8,integer_types
Fwd Header Length,int16,Syn-testing.parquet,1,int16; int32; int64,integer_types
Fwd Header Length,int32,MSSQL-testing.parquet; Portmap-training.parquet; Syn-training.parquet,3,int16; int32; int64,integer_types
Fwd Header Length,int64,DNS-testing.parquet; LDAP-testing.parquet; LDAP-training.parquet; MSSQL-training.parquet; NTP-testing.parquet; NetBIOS-testing.parquet; NetBIOS-training.parquet; SNMP-testing.parquet; TFTP-testing.parquet; UDP-testing.parquet; UDP-training.parquet; UDPLag-testing.parquet; UDPLag-training.parquet,13,int16; int32; int64,integer_types
Fwd Seg Size Min,int32,DNS-testing.parquet; LDAP-testing.parquet; LDAP-training.parquet; MSSQL-testing.parquet; MSSQL-training.parquet; NTP-testing.parquet; NetBIOS-testing.parquet; NetBIOS-training.parquet; Portmap-training.parquet; SNMP-testing.parquet; TFTP-testing.parquet; UDP-testing.parquet; UDP-training.parquet; UDPLag-testing.parquet; UDPLag-training.parquet,15,int32; int8,integer_types
Fwd Seg Size Min,int8,Syn-testing.parquet; Syn-training.parquet,2,int32; int8,integer_types
Subflow Fwd Packets,int16,DNS-testing.parquet; LDAP-testing.parquet; MSSQL-testing.parquet; MSSQL-training.parquet; NTP-testing.parquet; NetBIOS-testing.parquet; NetBIOS-training.parquet; Portmap-training.parquet; SNMP-testing.parquet; Syn-testing.parquet; Syn-training.parquet; TFTP-testing.parquet; UDP-testing.parquet; UDP-training.parquet; UDPLag-testing.parquet; UDPLag-training.parquet,16,int16; int32,integer_types
Subflow Fwd Packets,int32,LDAP-training.parquet,1,int16; int32,integer_types
Total Fwd Packets,int16,DNS-testing.parquet; LDAP-testing.parquet; MSSQL-testing.parquet; MSSQL-training.parquet; NTP-testing.parquet; NetBIOS-testing.parquet; NetBIOS-training.parquet; Portmap-training.parquet; SNMP-testing.parquet; Syn-testing.parquet; Syn-training.parquet; TFTP-testing.parquet; UDP-testing.parquet; UDP-training.parquet; UDPLag-testing.parquet; UDPLag-training.parquet,16,int16; int32,integer_types
Total Fwd Packets,int32,LDAP-training.parquet,1,int16; int32,integer_types
