rank,candidate_index,mean_cv_accuracy,std_cv_accuracy,mean_cv_precision,std_cv_precision,mean_cv_recall,std_cv_recall,mean_cv_f1,std_cv_f1,sklearn_std_cv_f1,params
1,13,0.9995046736438444,0.000153674075750366,0.9998348447954186,9.628357937505348e-05,0.9993777245602621,0.000251587532406235,0.9996062153171827,0.00012220952491792184,0.00010930752208577106,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 40, ""criterion"": ""gini"", ""bootstrap"": false}"
2,4,0.9994807062395141,0.00020947688107577828,0.9998475327101239,7.240468928763822e-05,0.999326926877868,0.0003287055263741572,0.9995871388527204,0.00016661480559729912,0.0001490248125493893,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""entropy"", ""bootstrap"": false}"
3,3,0.9994487497004073,0.0002452677388033536,0.9998221140958821,8.283216353446586e-05,0.9993015276334699,0.00035636663949387164,0.9995617299272588,0.00019507336357628096,0.0001744789206224383,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": false}"
4,7,0.9994487497004074,0.00025326943331703956,0.9998348141182021,8.524284895771559e-05,0.9992888284144718,0.0003630899174541088,0.9995617234708032,0.00020144933431797107,0.00018018176222282583,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 30, ""criterion"": ""gini"", ""bootstrap"": true}"
5,2,0.999432771430854,0.0002685585414072349,0.9998221165038028,0.00010436022959781606,0.9992761291954737,0.0004030820421764095,0.999549015372698,0.00021362131941820176,0.000191068716664918,"{""n_estimators"": 200, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""log2"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": false}"
6,15,0.9994167931613008,0.00016614711466872613,0.9998094100467835,7.778629780974925e-05,0.9992634275572698,0.000256351630366034,0.9995363294789467,0.00013213643398241867,0.00011818641947564055,"{""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": null, ""max_depth"": 30, ""criterion"": ""entropy"", ""bootstrap"": true}"
7,12,0.9993928257569704,0.00017729760342868913,0.9998602069098522,5.317144993357984e-05,0.9991745330242836,0.00024997311143981795,0.9995172421231132,0.0001410247312974814,0.00012613635427592422,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20, ""criterion"": ""entropy"", ""bootstrap"": true}"
8,9,0.9993768474874172,0.00017997731606723714,0.999631672602049,0.00021245961722332957,0.9993777205282519,0.0002594873274987406,0.9995046518134083,0.00014307594517349768,0.00012797101574118952,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": null, ""max_depth"": 40, ""criterion"": ""entropy"", ""bootstrap"": false}"
9,19,0.9993448909483102,0.00014009489427778933,0.9998220955443398,0.0001044013988296273,0.9991364305288772,0.00020378543045131988,0.9994791343837512,0.00011141890482388778,9.965609806591693e-05,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""max_features"": null, ""max_depth"": 10, ""criterion"": ""entropy"", ""bootstrap"": true}"
10,11,0.999328912678757,0.00026706902053920693,0.9998601826729734,6.966411576194542e-05,0.9990729344338872,0.0003636487430272259,0.9994663847222507,0.00021245250633375587,0.0001900232984609931,"{""n_estimators"": 100, ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""log2"", ""max_depth"": null, ""criterion"": ""entropy"", ""bootstrap"": false}"
