rank,candidate_index,mean_cv_accuracy,std_cv_accuracy,mean_cv_precision,std_cv_precision,mean_cv_recall,std_cv_recall,mean_cv_f1,std_cv_f1,sklearn_std_cv_f1,params
1,13,0.999408804026524,0.00026406477400398444,0.9997966898363085,5.319656919521069e-05,0.9992634307828778,0.00038255318413573085,0.9995299647343749,0.00021004554319731922,0.00018787044518402972,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 40, ""criterion"": ""gini"", ""bootstrap"": false}"
2,7,0.9994008148917471,0.0002526386242844496,0.999847505263024,8.523815289061606e-05,0.9991999330750836,0.00037456460326971844,0.9995235874862448,0.0002009772063244557,0.00017975947810779344,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 30, ""criterion"": ""gini"", ""bootstrap"": true}"
3,4,0.9993848366221938,0.0002888820760847464,0.9998347923225802,9.635674620095706e-05,0.9991872322432815,0.000412474185361196,0.9995108777751802,0.0002297986868912908,0.0002055381940116464,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""entropy"", ""bootstrap"": false}"
4,3,0.9993848366221938,0.00028047438973461303,0.9998601980172696,6.962614802556491e-05,0.9991618329988835,0.0004050770920901669,0.9995108656720934,0.00022311733657256116,0.00019956221261397867,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": false}"
5,2,0.9993848366221938,0.0003076076265587354,0.9998601963985132,6.962947164442801e-05,0.9991618329988835,0.0004476306929235297,0.9995108584051217,0.00024470530882420537,0.00021887108199440092,"{""n_estimators"": 200, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""log2"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": false}"
6,12,0.999328912678757,0.00023699603697677218,0.9998474826597838,9.637523453841398e-05,0.9990856344592872,0.000319374908983941,0.9994663972343307,0.0001885221197353039,0.00016861930999619766,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20, ""criterion"": ""entropy"", ""bootstrap"": true}"
7,11,0.9993209235439802,0.00026496962453906027,0.9998601867096953,8.286990371644397e-05,0.9990602360212911,0.0003793806854188944,0.9994600264344538,0.0002108017486957297,0.0001885468159437917,"{""n_estimators"": 100, ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""log2"", ""max_depth"": null, ""criterion"": ""entropy"", ""bootstrap"": false}"
8,18,0.9992649996005433,0.0002790484812107309,0.999834760823368,7.246574499932684e-05,0.9989967383134969,0.00041002363859596195,0.9994155438605888,0.00022202713424238717,0.00019858710600617957,"{""n_estimators"": 100, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": true}"
9,15,0.9992090756571063,0.00014512984041371998,0.9996823226360713,6.348397211580482e-05,0.9990602368276932,0.00025946976543169564,0.9993711650085203,0.0001154848381580453,0.00010329277939678035,"{""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": null, ""max_depth"": 30, ""criterion"": ""entropy"", ""bootstrap"": true}"
10,17,0.9992010865223296,0.00025577711262414677,0.9998601552088475,0.00010444896268270113,0.9988697412851046,0.00033115395877143236,0.9993646876805716,0.00020348260111866992,0.0001820003713359283,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""max_features"": ""sqrt"", ""max_depth"": 40, ""criterion"": ""gini"", ""bootstrap"": true}"
