rank,candidate_index,mean_cv_accuracy,std_cv_accuracy,mean_cv_precision,std_cv_precision,mean_cv_recall,std_cv_recall,mean_cv_f1,std_cv_f1,sklearn_std_cv_f1,params
1,13,0.9990972277702325,0.00010792726760492814,0.9994665399556831,0.0002639228504107502,0.9990983336782853,0.00033418143802987064,0.9992823361965643,8.589142466834646e-05,7.682362569709001e-05,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 40, ""criterion"": ""gini"", ""bootstrap"": false}"
2,7,0.9990892386354557,0.00013066571250135983,0.9994919029168976,0.0002654821997079928,0.9990602368276932,0.0003025146007173398,0.9992759670323978,0.00010390601031429142,9.293636093341996e-05,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""max_depth"": 30, ""criterion"": ""gini"", ""bootstrap"": true}"
3,2,0.9990812495006789,0.00016710474285652516,0.9994538238359342,0.00028243693592098297,0.9990856360720912,0.00030975753654625683,0.9992696398099843,0.00013285122278075323,0.00011882574601269314,"{""n_estimators"": 200, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""log2"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": false}"
4,3,0.9990812495006789,0.00016710474285652516,0.9994538238359342,0.00028243693592098297,0.9990856360720912,0.00030975753654625683,0.9992696398099843,0.00013285122278075323,0.00011882574601269314,"{""n_estimators"": 300, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": false}"
5,4,0.9990812495006791,0.00014122928441048227,0.9994665230259328,0.00026395009812910477,0.9990729352402893,0.00034951240848924927,0.9992696236646148,0.00011235694510838311,0.00010049510680262284,"{""n_estimators"": 200, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""entropy"", ""bootstrap"": false}"
6,12,0.9990173364224655,0.00013427927070360052,0.9994918448244686,0.00026551638124350116,0.9989459398247009,0.00030648910279257535,0.999218761045595,0.00010679484987542945,9.552021758733809e-05,"{""n_estimators"": 100, ""min_samples_split"": 2, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": 20, ""criterion"": ""entropy"", ""bootstrap"": true}"
7,11,0.9989614124790286,0.00014946302575593543,0.9993902437994612,0.00020360456277911652,0.998958640656503,0.0003799076306082533,0.9991743325314857,0.00011901503388603067,0.00010645028244544222,"{""n_estimators"": 100, ""min_samples_split"": 5, ""min_samples_leaf"": 4, ""max_features"": ""log2"", ""max_depth"": null, ""criterion"": ""entropy"", ""bootstrap"": false}"
8,15,0.9989454342094751,0.00018863495970469,0.9994410140181946,0.00028872768777826453,0.9988824396977005,0.00031621739746799676,0.999161593380229,0.0001499849359846068,0.00013415060498501408,"{""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 2, ""max_features"": null, ""max_depth"": 30, ""criterion"": ""entropy"", ""bootstrap"": true}"
9,9,0.9989374450746983,0.00011156219576389156,0.9993648848449995,0.0002975468646516562,0.9989459374054949,0.00027895451268828276,0.9991553068980229,8.86484424036796e-05,7.928957732564098e-05,"{""n_estimators"": 300, ""min_samples_split"": 10, ""min_samples_leaf"": 1, ""max_features"": null, ""max_depth"": 40, ""criterion"": ""entropy"", ""bootstrap"": false}"
10,18,0.9989134776703683,0.00013066571250137002,0.9993648276105744,0.0002287710317463616,0.9989078421677066,0.00035749186772166723,0.9991362191453232,0.00010404876287584147,9.30640427060552e-05,"{""n_estimators"": 100, ""min_samples_split"": 10, ""min_samples_leaf"": 2, ""max_features"": ""sqrt"", ""max_depth"": null, ""criterion"": ""gini"", ""bootstrap"": true}"
