subset_id,fold,n_train,n_validation,accuracy,precision,recall,f1_score
Top-10,1,100136,25034,0.9992410321962132,0.9994919344595453,0.9993015429551083,0.9993967296396253
Top-10,2,100136,25034,0.9989614124790285,0.9998092695021934,0.9985395898152264,0.9991740263040854
Top-10,3,100136,25034,0.999001358152912,0.9991112239715592,0.9993015429551083,0.9992063744008127
Top-10,4,100136,25034,0.9992010865223296,0.9996188055908514,0.9991109982219964,0.999364837398374
Top-10,5,100136,25034,0.999001358152912,0.9993647970526583,0.9990474980949962,0.9992061223841733
Random-12,1,100136,25034,0.9993608692178637,0.9997458865383394,0.9992380468601181,0.9994919021911718
Random-12,2,100136,25034,0.9991611408484461,0.9998093301131308,0.9988570702901771,0.9993329733506972
Random-12,3,100136,25034,0.9996005432611648,0.9998094633216894,0.9995555273350689,0.9996824792023877
Random-12,4,100136,25034,0.9993608692178637,0.9997458703939008,0.9992379984759969,0.9994918699186992
Random-12,5,100136,25034,0.9992809778700966,0.9996823379923762,0.9991744983489967,0.9994283536585366
