file_name,relative_path,split,attack_family_from_filename,row_count
LDAP-training.parquet,data\raw\LDAP-training.parquet,training,LDAP,6715
MSSQL-training.parquet,data\raw\MSSQL-training.parquet,training,MSSQL,10974
NetBIOS-training.parquet,data\raw\NetBIOS-training.parquet,training,NetBIOS,1631
Portmap-training.parquet,data\raw\Portmap-training.parquet,training,Portmap,5105
Syn-training.parquet,data\raw\Syn-training.parquet,training,Syn,70336
UDP-training.parquet,data\raw\UDP-training.parquet,training,UDP,17770
UDPLag-training.parquet,data\raw\UDPLag-training.parquet,training,UDPLag,12639
DNS-testing.parquet,data\raw\DNS-testing.parquet,testing,DNS,6703
LDAP-testing.parquet,data\raw\LDAP-testing.parquet,testing,LDAP,2831
MSSQL-testing.parquet,data\raw\MSSQL-testing.parquet,testing,MSSQL,8083
NetBIOS-testing.parquet,data\raw\NetBIOS-testing.parquet,testing,NetBIOS,2225
NTP-testing.parquet,data\raw\NTP-testing.parquet,testing,NTP,134674
SNMP-testing.parquet,data\raw\SNMP-testing.parquet,testing,SNMP,4018
Syn-testing.parquet,data\raw\Syn-testing.parquet,testing,Syn,907
TFTP-testing.parquet,data\raw\TFTP-testing.parquet,testing,TFTP,121833
UDP-testing.parquet,data\raw\UDP-testing.parquet,testing,UDP,12462
UDPLag-testing.parquet,data\raw\UDPLag-testing.parquet,testing,UDPLag,12465
