split,label,binary_target,row_count,percentage
training,Benign,0,46427,37.091156
training,LDAP,1,1906,1.522729
training,MSSQL,1,8523,6.80914
training,NetBIOS,1,644,0.5145
training,Portmap,1,685,0.547256
training,Syn,1,48840,39.018934
training,UDP,1,18090,14.452345
training,UDPLag,1,55,0.04394
testing,Benign,0,51404,16.787666
testing,DrDoS_DNS,1,3669,1.198233
testing,DrDoS_LDAP,1,1440,0.470279
testing,DrDoS_MSSQL,1,6212,2.028733
testing,DrDoS_NTP,1,121368,39.636709
testing,DrDoS_NetBIOS,1,598,0.195297
testing,DrDoS_SNMP,1,2717,0.887326
testing,DrDoS_UDP,1,10420,3.402993
testing,Syn,1,533,0.174069
testing,TFTP,1,98917,32.304597
testing,UDP-lag,1,8872,2.897443
testing,WebDDoS,1,51,0.016656
