model,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,experiment_type,f1_delta_vs_baseline_65,f1_delta_vs_top_10
Baseline_65,65,0.0,0.972844634733394,0.9997283225743666,0.9676291322111328,0.9834168639424984,0.9945409300595868,51337,67,8248,246549,4.525479399948381,0.4580712000606581,existing_reference,0.0,-0.0025924896788968033
Top_50,50,23.07692307692308,0.9720771649994612,0.9986755825209296,0.967727249535905,0.9829578750563088,0.9928151399982348,51077,327,8223,246574,2.8734298000345007,0.2957186000421643,existing_reference,-0.0004589888861895597,-0.003051478565086363
Top_40,40,38.46153846153847,0.9725735709550264,0.9997444478247642,0.9672876839209252,0.9832482915172284,0.9958604866049982,51341,63,8335,246462,2.408430400013458,0.2898127999505959,existing_reference,-0.00016857242527001937,-0.0027610621041668226
Top_30,30,53.84615384615385,0.972841368904739,0.9997769586075728,0.9675781112022512,0.9834140426176932,0.9948206803725914,51349,55,8261,246536,2.0226254999870434,0.2642735000117682,existing_reference,-2.8213248052244566e-06,-0.0025953110037020277
Top_20,20,69.23076923076923,0.9710680239450556,0.9987871953791738,0.9664046279979748,0.982329110591164,0.9919537736844958,51105,299,8560,246237,1.3395280000404457,0.2555101999896578,existing_reference,-0.0010877533513343751,-0.0036802430302311784
Top_10,10,84.61538461538461,0.9770314270691474,0.999733759318424,0.972656663932464,0.9860093536213952,0.9951416952393666,51338,66,6967,247830,0.8824147999985144,0.2496087000472471,existing_reference,0.0025924896788968033,0.0
Random_5_01,5,92.3076923076923,0.9710125048579201,0.9987830651344105,0.9663418329101207,0.982294671246594,0.9847460081241657,51104,300,8576,246221,1.2879837999935262,0.36994020000565797,random_feature_search,-0.0011221926959044115,-0.0037146823748012148
Random_5_02,5,92.3076923076923,0.9719922534544303,0.9996915246394694,0.9666401095774283,0.9828880419817627,0.9941736222693027,51328,76,8500,246297,1.3796754000359215,0.3607003999641165,random_feature_search,-0.0005288219607356703,-0.0031213116396324736
Random_5_03,5,92.3076923076923,0.8013233137710197,0.9976855653173495,0.7630113384380507,0.8647091920357781,0.9759204530614647,50953,451,60384,194413,1.5111207999871112,0.34174000000348315,random_feature_search,-0.11870767190672027,-0.12130016158561707
Random_5_04,5,92.3076923076923,0.9716428097883416,0.9989458063365149,0.9669423109377269,0.9826835596522752,0.9837295390947838,51144,260,8423,246374,1.7706703000003472,0.30047399998875335,random_feature_search,-0.0007333042902232245,-0.0033257939691200278
Random_5_05,5,92.3076923076923,0.7037599485305404,0.9819766895384905,0.6560359815853405,0.7865776044007238,0.8978582222046505,48336,3068,87641,167156,1.225326799962204,0.36945030000060797,random_feature_search,-0.1968392595417746,-0.19943174922067142
