feature_name,total_appearances,appearance_percentage,count_in_size_5,count_in_size_8,count_in_size_10,count_in_size_12,count_in_size_15,count_in_size_20,count_in_size_30
Subflow Fwd Bytes,24,34.285714285714285,2,2,3,3,5,2,7
Init Bwd Win Bytes,22,31.428571428571427,0,2,3,3,4,5,5
Fwd Packet Length Min,21,30.0,0,1,2,1,6,3,8
Bwd Header Length,20,28.57142857142857,1,1,3,4,4,4,3
Bwd IAT Max,20,28.57142857142857,3,3,2,2,5,3,2
Bwd Packet Length Max,20,28.57142857142857,1,3,1,2,3,2,8
Bwd Packets Length Total,20,28.57142857142857,2,4,3,1,3,2,5
Bwd Packets/s,20,28.57142857142857,1,1,2,5,4,2,5
Fwd Packet Length Max,20,28.57142857142857,0,2,1,4,5,3,5
Active Max,19,27.142857142857142,2,2,3,2,2,3,5
Flow IAT Std,19,27.142857142857142,1,5,2,1,1,1,8
Fwd Packet Length Mean,19,27.142857142857142,1,2,2,3,1,3,7
Protocol,19,27.142857142857142,0,0,2,3,3,6,5
Subflow Fwd Packets,19,27.142857142857142,1,3,1,2,1,5,6
Total Fwd Packets,19,27.142857142857142,1,0,2,2,4,4,6
Down/Up Ratio,18,25.71428571428571,1,2,4,2,4,1,4
Fwd IAT Max,18,25.71428571428571,1,2,1,2,2,3,7
Fwd Packet Length Std,18,25.71428571428571,2,0,1,1,2,4,8
Idle Mean,18,25.71428571428571,1,1,4,1,5,0,6
ACK Flag Count,17,24.285714285714285,0,2,0,0,6,5,4
Flow IAT Mean,17,24.285714285714285,0,1,2,4,3,4,3
Flow IAT Min,17,24.285714285714285,0,0,3,2,0,6,6
Idle Std,17,24.285714285714285,0,0,2,7,1,4,3
Init Fwd Win Bytes,17,24.285714285714285,0,1,0,3,2,7,4
Packet Length Variance,17,24.285714285714285,0,2,2,2,4,5,2
SYN Flag Count,17,24.285714285714285,2,0,3,1,4,1,6
Avg Fwd Segment Size,16,22.857142857142858,2,4,0,2,0,3,5
Bwd IAT Mean,16,22.857142857142858,1,1,1,2,3,4,4
Bwd IAT Min,16,22.857142857142858,0,2,1,3,2,5,3
Idle Min,16,22.857142857142858,1,1,0,4,5,2,3
Fwd Packets/s,15,21.428571428571427,1,1,1,1,1,5,5
RST Flag Count,15,21.428571428571427,1,1,2,0,1,3,7
Subflow Bwd Bytes,15,21.428571428571427,2,0,1,0,2,6,4
Avg Packet Size,14,20.0,0,1,1,3,3,3,3
Flow Bytes/s,14,20.0,1,0,2,1,2,3,5
Flow Duration,14,20.0,0,3,2,1,2,1,5
Flow IAT Max,14,20.0,0,2,2,2,0,3,5
Flow Packets/s,14,20.0,0,2,2,3,1,3,3
Idle Max,14,20.0,0,0,1,3,0,6,4
Packet Length Mean,14,20.0,0,0,2,3,1,2,6
Packet Length Std,14,20.0,0,0,3,3,3,3,2
URG Flag Count,14,20.0,2,1,1,1,2,3,4
Active Mean,13,18.571428571428573,1,0,2,2,2,3,3
Active Std,13,18.571428571428573,0,1,2,1,1,4,4
Avg Bwd Segment Size,13,18.571428571428573,1,0,0,2,2,5,3
Bwd IAT Std,13,18.571428571428573,3,2,1,1,0,2,4
Bwd Packet Length Min,13,18.571428571428573,1,0,2,0,3,2,5
CWE Flag Count,13,18.571428571428573,0,1,1,1,3,2,5
Fwd Act Data Packets,13,18.571428571428573,0,2,2,0,1,3,5
Fwd IAT Mean,13,18.571428571428573,1,1,1,1,2,3,4
Packet Length Max,13,18.571428571428573,0,2,1,2,0,6,2
Packet Length Min,13,18.571428571428573,0,2,0,1,3,2,5
Bwd Packet Length Mean,12,17.142857142857142,0,0,1,0,1,3,7
Fwd Header Length,12,17.142857142857142,1,0,0,2,2,2,5
Fwd IAT Total,12,17.142857142857142,1,2,2,1,0,4,2
Active Min,11,15.714285714285714,0,1,3,2,2,0,3
Bwd IAT Total,11,15.714285714285714,1,2,0,1,2,1,4
Fwd IAT Min,11,15.714285714285714,1,1,1,0,1,3,4
Fwd IAT Std,11,15.714285714285714,0,0,1,2,0,3,5
Fwd PSH Flags,11,15.714285714285714,2,1,0,0,1,3,4
Fwd Packets Length Total,11,15.714285714285714,0,0,1,1,2,1,6
Subflow Bwd Packets,11,15.714285714285714,2,0,1,0,3,2,3
Bwd Packet Length Std,10,14.285714285714285,0,1,0,2,2,0,5
Fwd Seg Size Min,10,14.285714285714285,1,0,1,2,2,2,2
Total Backward Packets,10,14.285714285714285,0,0,1,1,3,1,4
