feature_name,sets_with_feature,sets_without_feature,mean_f1_with_feature,median_f1_with_feature,mean_f1_without_feature,median_f1_without_feature,mean_f1_difference_with_minus_without
Avg Fwd Segment Size,16,54,0.9805308593462085,0.9827293533351094,0.9565544745959089,0.971521980227286,0.023976384750299617
Fwd Packet Length Mean,19,51,0.9790523962859833,0.982859765344401,0.9556948989859754,0.9745644739489036,0.023357497300007912
Subflow Fwd Packets,19,51,0.9780483688175468,0.982859765344401,0.9560689484350007,0.9751947832659263,0.021979420382546078
Protocol,19,51,0.9779036590882856,0.983253593287876,0.9561228599027647,0.9741024745900092,0.021780799185520894
Init Fwd Win Bytes,17,53,0.9777887574180459,0.9821301985466934,0.95698163210588,0.9792549069084224,0.020807125312165886
Idle Max,14,56,0.9784620285318685,0.9828511411959966,0.9579279817548619,0.9772248450871743,0.020534046777006543
Fwd Packet Length Max,20,50,0.976491992456849,0.9828489930616041,0.956251910571629,0.974879628607415,0.020240081885220085
Flow IAT Mean,17,53,0.9773009866311535,0.983253593287876,0.9571380868865815,0.9751947832659263,0.02016289974457197
Bwd IAT Min,16,54,0.977348276454155,0.9823645699362555,0.9574974621194804,0.9776039086872546,0.019850814334674616
Fwd IAT Mean,13,57,0.9780031420580619,0.9831033410661756,0.9583928865081335,0.9792549069084224,0.019610255549928457
URG Flag Count,14,56,0.9776830405294327,0.9830023230176728,0.9581227287554709,0.974879628607415,0.01956031177396178
Subflow Fwd Bytes,24,46,0.9743199661536356,0.9802421655376368,0.955625134565895,0.9781371089307787,0.018694831587740546
Flow IAT Min,17,53,0.9761215984881455,0.9821301985466934,0.957516381196603,0.979671745227214,0.01860521729154252
Flow Packets/s,14,56,0.976885579846205,0.982225402873404,0.9583220939262779,0.9796339705085026,0.01856348591992718
Packet Length Mean,14,56,0.9767748469737007,0.9821604383239413,0.9583497771444038,0.9798423896678984,0.018425069829296814
Packet Length Max,13,57,0.9767113337760096,0.9831033410661756,0.9586875094496544,0.9792549069084224,0.018023824326355187
Fwd Packets/s,15,55,0.9759171485254813,0.979671745227214,0.9582486936333854,0.9804712969666908,0.017668454892095897
Bwd Packet Length Mean,12,58,0.9765519426251131,0.978896862295872,0.9590312425209838,0.9802421655376368,0.017520700104129316
Idle Std,17,53,0.9752834581325539,0.9817097439126536,0.957785218669151,0.9800130341085828,0.017498239463402898
Avg Packet Size,14,56,0.9756629112205335,0.981580603557642,0.9586277610826957,0.9798423896678984,0.01703515013783785
Flow Duration,14,56,0.9752776779170828,0.9830566793161385,0.9587240694085583,0.9794633260678183,0.016553608508524498
Flow Bytes/s,14,56,0.9750716959007856,0.9823645699362555,0.9587755649126325,0.9794633260678183,0.01629613098815308
ACK Flag Count,17,53,0.9743346278405125,0.979671745227214,0.9580895604609379,0.9817097439126536,0.01624506737957465
RST Flag Count,15,55,0.9746241489859503,0.9804712969666908,0.9586013298714395,0.9800130341085828,0.016022819114510756
Fwd Act Data Packets,13,57,0.9749603974079614,0.9825989413258176,0.9590868458142969,0.9751947832659263,0.015873551593664437
Bwd IAT Max,20,50,0.9732430833945644,0.9824787760866844,0.9575514741965427,0.9794633260678183,0.015691609198021705
CWE Flag Count,13,57,0.9746438929167719,0.9821906781011892,0.9591590310491297,0.979671745227214,0.015484861867642197
Idle Min,16,54,0.9731216355879209,0.9772248450871743,0.9587498001539202,0.981780804166822,0.014371835434000668
Fwd Packets Length Total,11,59,0.9738414725016787,0.9741024745900092,0.9598335454271179,0.9804712969666908,0.014007927074560889
Bwd Packets Length Total,20,50,0.9713795558420845,0.9774332642465702,0.9582968852175345,0.9811615806938405,0.01308267062454993
Fwd IAT Std,11,59,0.9729745650595614,0.9751947832659263,0.9599951722383602,0.9804712969666908,0.012979392821201197
Fwd Seg Size Min,10,60,0.9730918914270303,0.9779061092513315,0.9601919410574686,0.9802421655376368,0.012899950369561708
Total Backward Packets,10,60,0.9726124229211541,0.976747347001005,0.9602718524751148,0.9807209129903927,0.012340570446039312
Fwd Packet Length Min,21,49,0.9705603258426558,0.9701093853870792,0.9583809905106664,0.9818518644209904,0.01217933533198945
Total Fwd Packets,19,51,0.9703548110419155,0.9804712969666908,0.9589351758416085,0.9751947832659263,0.011419635200306977
Bwd IAT Mean,16,54,0.9701687270150476,0.9723369296679913,0.9596247360273641,0.9813401364633741,0.01054399098768355
Bwd Packet Length Std,10,60,0.9706520434362732,0.9695254356258209,0.9605985823892617,0.9813401364633741,0.010053461047011547
Init Bwd Win Bytes,22,48,0.9687114496205786,0.9813401364633741,0.958974655959702,0.9796339705085026,0.009736793660876653
Bwd IAT Std,13,57,0.9699443464078109,0.9828382207788072,0.9602308574459102,0.9792549069084224,0.009713488961900718
Bwd Packets/s,20,50,0.9685227178404323,0.98133098753394,0.9594396204181954,0.9798423896678984,0.009083097422236897
Fwd IAT Max,18,52,0.968344222493449,0.9805533856647064,0.9598507571699297,0.9802421655376368,0.008493465323519245
Packet Length Min,13,57,0.9682792441445093,0.9649012714988088,0.9606106176112246,0.9821301985466934,0.007668626533284706
Active Min,11,59,0.968268745030736,0.9734816598934272,0.9608725285149208,0.9809705290140946,0.007396216515815235
Fwd Header Length,12,58,0.9681307932731423,0.9774332642465702,0.9607735492834606,0.9807209129903927,0.007357243989681739
Avg Bwd Segment Size,13,57,0.9676947516781221,0.9825989413258176,0.960743922910576,0.979671745227214,0.006950828767546158
Bwd Packet Length Max,20,50,0.9666414402393106,0.9813059877172001,0.9601921314586442,0.9798631019375565,0.006449308780666407
Flow IAT Max,14,56,0.9661699451094163,0.9824842096627503,0.9610010026104748,0.9794633260678183,0.005168942498941509
Fwd Packet Length Std,18,52,0.9656362859784681,0.9823645699362555,0.9607881198097308,0.9794633260678183,0.004848166168737289
Flow IAT Std,19,51,0.9654436295165116,0.9825989413258176,0.9607648317040137,0.9792549069084224,0.004678797812497915
Idle Mean,18,52,0.9635676845392805,0.9776039086872546,0.9615041741540649,0.9811615806938405,0.0020635103852156833
Packet Length Variance,17,53,0.9635199934137132,0.9792549069084224,0.9615584054657603,0.9804712969666908,0.0019615879479528697
Fwd PSH Flags,11,59,0.9636472923348826,0.9751947832659263,0.9617341552887241,0.9804712969666908,0.0019131370461584751
