group_a,group_b,features_in_a,features_in_b,overlap_count,jaccard_overlap,overlap_features
top_10_by_f1,top_10_by_f1,61,61,61,1.0,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Bwd Segment Size; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd IAT Total; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Act Data Packets; Fwd Header Length; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Fwd Packets Length Total; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Mean; Idle Min; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Min; Packet Length Std; Packet Length Variance; Protocol; SYN Flag Count; Subflow Bwd Bytes; Subflow Bwd Packets; Subflow Fwd Bytes; Subflow Fwd Packets; Total Backward Packets; Total Fwd Packets; URG Flag Count
top_10_by_f1,top_10_by_roc_auc,61,60,57,0.890625,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Bwd Segment Size; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd IAT Total; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Act Data Packets; Fwd Header Length; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Min; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Min; Packet Length Std; Packet Length Variance; Protocol; Subflow Bwd Bytes; Subflow Bwd Packets; Subflow Fwd Bytes; Subflow Fwd Packets; Total Fwd Packets; URG Flag Count
top_10_by_f1,top_10_by_recall,61,54,51,0.796875,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Header Length; Fwd IAT Max; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Std; Fwd Packets Length Total; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Mean; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Std; Protocol; SYN Flag Count; Subflow Bwd Bytes; Subflow Fwd Bytes; Subflow Fwd Packets; Total Backward Packets; Total Fwd Packets; URG Flag Count
top_10_by_f1,top_10_by_lowest_fn,61,54,51,0.796875,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Header Length; Fwd IAT Max; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Std; Fwd Packets Length Total; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Mean; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Std; Protocol; SYN Flag Count; Subflow Bwd Bytes; Subflow Fwd Bytes; Subflow Fwd Packets; Total Backward Packets; Total Fwd Packets; URG Flag Count
top_10_by_f1,top_10_by_lowest_fp,61,62,58,0.8923076923076924,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Bwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd IAT Total; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Act Data Packets; Fwd Header Length; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Fwd Packets Length Total; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Mean; Idle Min; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Min; Packet Length Std; Packet Length Variance; Protocol; Subflow Bwd Bytes; Subflow Bwd Packets; Subflow Fwd Bytes; Subflow Fwd Packets; Total Backward Packets; Total Fwd Packets; URG Flag Count
top_10_by_f1,top_10_importance_selected,61,10,10,0.16393442622950818,Avg Bwd Segment Size; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; Fwd Packet Length Min; Init Bwd Win Bytes; Packet Length Min; Subflow Bwd Bytes; URG Flag Count
top_10_by_roc_auc,top_10_by_f1,60,61,57,0.890625,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Bwd Segment Size; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd IAT Total; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Act Data Packets; Fwd Header Length; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Min; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Min; Packet Length Std; Packet Length Variance; Protocol; Subflow Bwd Bytes; Subflow Bwd Packets; Subflow Fwd Bytes; Subflow Fwd Packets; Total Fwd Packets; URG Flag Count
top_10_by_roc_auc,top_10_by_roc_auc,60,60,60,1.0,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Bwd Segment Size; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd IAT Total; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Min; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Act Data Packets; Fwd Header Length; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Min; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Min; Packet Length Std; Packet Length Variance; Protocol; RST Flag Count; Subflow Bwd Bytes; Subflow Bwd Packets; Subflow Fwd Bytes; Subflow Fwd Packets; Total Fwd Packets; URG Flag Count
top_10_by_roc_auc,top_10_by_recall,60,54,49,0.7538461538461538,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Header Length; Fwd IAT Max; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Std; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Std; Protocol; RST Flag Count; Subflow Bwd Bytes; Subflow Fwd Bytes; Subflow Fwd Packets; Total Fwd Packets; URG Flag Count
top_10_by_roc_auc,top_10_by_lowest_fn,60,54,49,0.7538461538461538,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Header Length; Fwd IAT Max; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Std; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Std; Protocol; RST Flag Count; Subflow Bwd Bytes; Subflow Fwd Bytes; Subflow Fwd Packets; Total Fwd Packets; URG Flag Count
top_10_by_roc_auc,top_10_by_lowest_fp,60,62,58,0.90625,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Bwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd IAT Total; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Min; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Act Data Packets; Fwd Header Length; Fwd IAT Max; Fwd IAT Mean; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd PSH Flags; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Min; Fwd Packet Length Std; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Min; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Min; Packet Length Std; Packet Length Variance; Protocol; RST Flag Count; Subflow Bwd Bytes; Subflow Bwd Packets; Subflow Fwd Bytes; Subflow Fwd Packets; Total Fwd Packets; URG Flag Count
top_10_by_roc_auc,top_10_importance_selected,60,10,10,0.16666666666666666,Avg Bwd Segment Size; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; Fwd Packet Length Min; Init Bwd Win Bytes; Packet Length Min; Subflow Bwd Bytes; URG Flag Count
top_10_by_recall,top_10_by_f1,54,61,51,0.796875,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Header Length; Fwd IAT Max; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Std; Fwd Packets Length Total; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Mean; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Std; Protocol; SYN Flag Count; Subflow Bwd Bytes; Subflow Fwd Bytes; Subflow Fwd Packets; Total Backward Packets; Total Fwd Packets; URG Flag Count
top_10_by_recall,top_10_by_roc_auc,54,60,49,0.7538461538461538,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Header Length; Fwd IAT Max; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Std; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Std; Protocol; RST Flag Count; Subflow Bwd Bytes; Subflow Fwd Bytes; Subflow Fwd Packets; Total Fwd Packets; URG Flag Count
top_10_by_recall,top_10_by_recall,54,54,54,1.0,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Std; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Header Length; Fwd IAT Max; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Std; Fwd Packets Length Total; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Mean; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Std; Protocol; RST Flag Count; SYN Flag Count; Subflow Bwd Bytes; Subflow Fwd Bytes; Subflow Fwd Packets; Total Backward Packets; Total Fwd Packets; URG Flag Count
top_10_by_recall,top_10_by_lowest_fn,54,54,54,1.0,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Fwd Segment Size; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Std; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Header Length; Fwd IAT Max; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Std; Fwd Packets Length Total; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Mean; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Mean; Packet Length Std; Protocol; RST Flag Count; SYN Flag Count; Subflow Bwd Bytes; Subflow Fwd Bytes; Subflow Fwd Packets; Total Backward Packets; Total Fwd Packets; URG Flag Count
top_10_by_recall,top_10_by_lowest_fp,54,62,51,0.7846153846153846,ACK Flag Count; Active Max; Active Mean; Active Min; Active Std; Avg Packet Size; Bwd Header Length; Bwd IAT Max; Bwd IAT Mean; Bwd IAT Min; Bwd IAT Std; Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packet Length Std; Bwd Packets Length Total; Bwd Packets/s; CWE Flag Count; Down/Up Ratio; Flow Bytes/s; Flow Duration; Flow IAT Max; Flow IAT Mean; Flow IAT Min; Flow IAT Std; Flow Packets/s; Fwd Header Length; Fwd IAT Max; Fwd IAT Min; Fwd IAT Std; Fwd IAT Total; Fwd Packet Length Max; Fwd Packet Length Mean; Fwd Packet Length Std; Fwd Packets Length Total; Fwd Packets/s; Fwd Seg Size Min; Idle Max; Idle Mean; Idle Std; Init Bwd Win Bytes; Init Fwd Win Bytes; Packet Length Max; Packet Length Std; Protocol; RST Flag Count; Subflow Bwd Bytes; Subflow Fwd Bytes; Subflow Fwd Packets; Total Backward Packets; Total Fwd Packets; URG Flag Count
top_10_by_recall,top_10_importance_selected,54,10,7,0.12280701754385964,Bwd Packet Length Max; Bwd Packet Length Mean; Bwd Packets Length Total; Bwd Packets/s; Init Bwd Win Bytes; Subflow Bwd Bytes; URG Flag Count
