experiment,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,f1_delta_vs_baseline_65,f1_delta_vs_top_10,baseline_comparison,top_10_comparison,beats_baseline_65,beats_top_10
Random_5_01,5,92.3076923076923,0.97101250485792,0.9987830651344104,0.9663418329101208,0.982294671246594,0.9847460081241656,51104,300,8576,246221,1.2879837999935262,0.3699402000056579,-0.0011221926959044115,-0.0037146823748012148,Worse than reference,Worse than reference,False,False
Random_5_02,5,92.3076923076923,0.9719922534544304,0.9996915246394694,0.9666401095774284,0.9828880419817628,0.9941736222693028,51328,76,8500,246297,1.3796754000359217,0.3607003999641165,-0.0005288219607355593,-0.0031213116396323626,Worse than reference,Worse than reference,False,False
Random_5_03,5,92.3076923076923,0.8013233137710197,0.9976855653173496,0.7630113384380507,0.8647091920357781,0.9759204530614648,50953,451,60384,194413,1.5111207999871112,0.3417400000034831,-0.11870767190672027,-0.12130016158561707,Worse than reference,Worse than reference,False,False
Random_5_04,5,92.3076923076923,0.9716428097883416,0.9989458063365148,0.9669423109377268,0.9826835596522752,0.9837295390947838,51144,260,8423,246374,1.7706703000003472,0.3004739999887533,-0.0007333042902232245,-0.0033257939691200278,Worse than reference,Worse than reference,False,False
Random_5_05,5,92.3076923076923,0.7037599485305404,0.9819766895384904,0.6560359815853405,0.7865776044007238,0.8978582222046505,48336,3068,87641,167156,1.225326799962204,0.3694503000006079,-0.1968392595417746,-0.19943174922067142,Worse than reference,Worse than reference,False,False
Random_5_06,5,92.3076923076923,0.9328414995378852,0.9461903909235336,0.9747249771386634,0.9602457479343796,0.9439967372861456,37280,14124,6440,248357,0.9551370000117458,0.3135226999875158,-0.02317111600811883,-0.025763605687015634,Worse than reference,Worse than reference,False,False
Random_5_07,5,92.3076923076923,0.7717447036423787,0.988177397126458,0.7344827450872655,0.8426493763789454,0.9140179881992152,49165,2239,67653,187144,0.965151899959892,0.27909520000685,-0.14076748756355295,-0.14335997724244975,Worse than reference,Worse than reference,False,False
Random_5_08,5,92.3076923076923,0.689318454217981,0.9800425726380604,0.639666087120335,0.7740898264311887,0.8316630607077531,48085,3319,91812,162985,1.401945399993565,0.3557431999943219,-0.20932703751130965,-0.21191952719020646,Worse than reference,Worse than reference,False,False
Random_5_09,5,92.3076923076923,0.9723776212357242,0.9986437741134938,0.968119718834994,0.9831448806909444,0.988055217763936,51069,335,8123,246674,0.9709287000005132,0.2767192999599501,-0.0002719832515539755,-0.0028644729304507788,Worse than reference,Worse than reference,False,False
Random_5_10,5,92.3076923076923,0.8803400380795621,0.9821213098958218,0.8720746319619148,0.9238323313459892,0.9113712155283936,47359,4045,32595,222202,0.9409424999612384,0.2789762000320479,-0.0595845325965092,-0.062177022275406,Worse than reference,Worse than reference,False,False
