experiment_id,feature_count,sampling_seed,selected_features
Random_01,5,20260903,"[""Fwd IAT Mean"", ""Idle Std"", ""Total Fwd Packets"", ""Bwd Packet Length Min"", ""Flow Packets/s""]"
Random_02,5,20260904,"[""URG Flag Count"", ""Subflow Bwd Packets"", ""Avg Packet Size"", ""Fwd Act Data Packets"", ""Init Fwd Win Bytes""]"
Random_03,5,20260905,"[""Fwd Seg Size Min"", ""Avg Fwd Segment Size"", ""Bwd IAT Std"", ""Active Min"", ""Fwd Packet Length Max""]"
Random_04,5,20260906,"[""Fwd Packets/s"", ""Packet Length Mean"", ""Subflow Bwd Packets"", ""Subflow Fwd Bytes"", ""Bwd IAT Max""]"
Random_05,5,20260907,"[""URG Flag Count"", ""Fwd Header Length"", ""Bwd Packet Length Mean"", ""RST Flag Count"", ""Fwd Packet Length Mean""]"
Random_06,5,20260908,"[""Active Min"", ""Flow IAT Max"", ""Init Bwd Win Bytes"", ""Bwd Packet Length Mean"", ""RST Flag Count""]"
Random_07,5,20260909,"[""Subflow Fwd Bytes"", ""Idle Mean"", ""Bwd Packets Length Total"", ""Bwd IAT Min"", ""Packet Length Min""]"
Random_08,5,20260910,"[""Active Mean"", ""Protocol"", ""Avg Packet Size"", ""Flow IAT Mean"", ""Fwd Header Length""]"
Random_09,5,20260911,"[""Bwd IAT Std"", ""Flow Duration"", ""Bwd Packet Length Max"", ""RST Flag Count"", ""Avg Packet Size""]"
Random_10,5,20260912,"[""Active Min"", ""Bwd Packet Length Std"", ""Fwd IAT Mean"", ""Fwd IAT Max"", ""Active Max""]"
Random_11,8,20260913,"[""Fwd Packet Length Min"", ""Subflow Bwd Bytes"", ""Fwd IAT Mean"", ""Flow IAT Max"", ""Fwd Packet Length Mean"", ""Fwd Header Length"", ""Bwd Packet Length Mean"", ""Packet Length Min""]"
Random_12,8,20260914,"[""Packet Length Mean"", ""Bwd Packet Length Mean"", ""Avg Bwd Segment Size"", ""Bwd IAT Max"", ""Active Max"", ""Idle Max"", ""Protocol"", ""Init Bwd Win Bytes""]"
Random_13,8,20260915,"[""Bwd Packet Length Mean"", ""Fwd Act Data Packets"", ""Bwd Packet Length Min"", ""Fwd Packets/s"", ""Packet Length Min"", ""Bwd Header Length"", ""URG Flag Count"", ""ACK Flag Count""]"
Random_14,8,20260916,"[""Fwd Header Length"", ""Packet Length Variance"", ""Idle Mean"", ""Packet Length Std"", ""Fwd IAT Total"", ""Fwd IAT Mean"", ""Fwd Packet Length Mean"", ""URG Flag Count""]"
Random_15,8,20260917,"[""SYN Flag Count"", ""Bwd IAT Total"", ""Bwd Packets Length Total"", ""Idle Min"", ""Flow Packets/s"", ""Fwd Packet Length Std"", ""Bwd IAT Max"", ""Packet Length Std""]"
Random_16,8,20260918,"[""Fwd Seg Size Min"", ""CWE Flag Count"", ""Subflow Bwd Packets"", ""Idle Std"", ""Active Min"", ""Bwd Packets Length Total"", ""Fwd Packet Length Min"", ""Avg Bwd Segment Size""]"
Random_17,8,20260919,"[""Subflow Fwd Bytes"", ""Bwd Packet Length Mean"", ""Subflow Bwd Bytes"", ""Idle Std"", ""Avg Fwd Segment Size"", ""Bwd Packet Length Std"", ""RST Flag Count"", ""Fwd Packet Length Max""]"
Random_18,8,20260920,"[""Active Max"", ""Fwd PSH Flags"", ""Subflow Fwd Bytes"", ""Fwd IAT Min"", ""Bwd Packets Length Total"", ""Bwd IAT Min"", ""Active Min"", ""Total Fwd Packets""]"
Random_19,8,20260921,"[""Down/Up Ratio"", ""Flow Packets/s"", ""Fwd PSH Flags"", ""Total Backward Packets"", ""Fwd IAT Total"", ""Packet Length Min"", ""Fwd IAT Mean"", ""Bwd Packet Length Std""]"
Random_20,8,20260922,"[""RST Flag Count"", ""Active Min"", ""Init Fwd Win Bytes"", ""Active Std"", ""Fwd IAT Mean"", ""ACK Flag Count"", ""Fwd Act Data Packets"", ""Packet Length Max""]"
Random_21,10,20260923,"[""Init Fwd Win Bytes"", ""Flow IAT Min"", ""Active Std"", ""Fwd Seg Size Min"", ""Subflow Fwd Bytes"", ""Subflow Bwd Bytes"", ""Total Backward Packets"", ""Bwd Packet Length Std"", ""Packet Length Min"", ""Fwd PSH Flags""]"
Random_22,10,20260924,"[""Idle Std"", ""Bwd Header Length"", ""Active Max"", ""Total Backward Packets"", ""RST Flag Count"", ""Fwd IAT Total"", ""Fwd Packet Length Std"", ""Total Fwd Packets"", ""Packet Length Variance"", ""Fwd Packets Length Total""]"
Random_23,10,20260925,"[""Bwd Packet Length Min"", ""Flow IAT Max"", ""Bwd IAT Min"", ""Bwd IAT Max"", ""Fwd IAT Mean"", ""Bwd IAT Mean"", ""Fwd Packets/s"", ""ACK Flag Count"", ""Packet Length Min"", ""Fwd Packet Length Std""]"
Random_24,10,20260926,"[""Idle Max"", ""Subflow Bwd Bytes"", ""Packet Length Mean"", ""Bwd Header Length"", ""Subflow Fwd Packets"", ""Fwd Packets Length Total"", ""Avg Bwd Segment Size"", ""Avg Fwd Segment Size"", ""Fwd Act Data Packets"", ""Fwd Seg Size Min""]"
Random_25,10,20260927,"[""Bwd Packets Length Total"", ""Active Std"", ""Idle Mean"", ""Fwd PSH Flags"", ""Fwd IAT Max"", ""Fwd Seg Size Min"", ""Flow Duration"", ""Flow Bytes/s"", ""Protocol"", ""Total Fwd Packets""]"
Random_26,10,20260928,"[""Bwd IAT Mean"", ""Total Backward Packets"", ""Flow IAT Min"", ""Subflow Fwd Bytes"", ""Active Mean"", ""Bwd IAT Min"", ""Bwd Packet Length Min"", ""Fwd PSH Flags"", ""Init Bwd Win Bytes"", ""Packet Length Mean""]"
Random_27,10,20260929,"[""Bwd Packet Length Mean"", ""Idle Max"", ""Avg Fwd Segment Size"", ""Bwd Packets Length Total"", ""Fwd Header Length"", ""Avg Packet Size"", ""Protocol"", ""Flow IAT Min"", ""Subflow Bwd Bytes"", ""Fwd PSH Flags""]"
Random_28,10,20260930,"[""Bwd Header Length"", ""Fwd IAT Max"", ""Flow IAT Max"", ""Bwd IAT Std"", ""Idle Max"", ""Subflow Fwd Packets"", ""Fwd IAT Total"", ""Bwd Packet Length Max"", ""Fwd IAT Mean"", ""Down/Up Ratio""]"
Random_29,10,20260931,"[""Avg Packet Size"", ""Bwd IAT Std"", ""Flow IAT Max"", ""Bwd IAT Mean"", ""Subflow Fwd Packets"", ""Fwd IAT Min"", ""Total Fwd Packets"", ""Fwd Packet Length Min"", ""Subflow Bwd Packets"", ""Fwd IAT Mean""]"
Random_30,10,20260932,"[""Flow IAT Mean"", ""Bwd Packet Length Mean"", ""Bwd IAT Total"", ""Bwd Header Length"", ""Init Bwd Win Bytes"", ""Avg Fwd Segment Size"", ""Idle Std"", ""Flow IAT Max"", ""Bwd IAT Std"", ""Bwd IAT Max""]"
Random_31,12,20260933,"[""Subflow Fwd Packets"", ""Flow IAT Mean"", ""Flow IAT Max"", ""Fwd IAT Total"", ""Idle Min"", ""RST Flag Count"", ""Bwd Packets Length Total"", ""Down/Up Ratio"", ""Init Fwd Win Bytes"", ""Fwd Packets Length Total"", ""URG Flag Count"", ""Packet Length Variance""]"
Random_32,12,20260934,"[""ACK Flag Count"", ""Flow Bytes/s"", ""Down/Up Ratio"", ""Bwd IAT Max"", ""SYN Flag Count"", ""Fwd IAT Min"", ""Packet Length Mean"", ""Packet Length Variance"", ""Active Mean"", ""Bwd IAT Std"", ""Fwd IAT Total"", ""Fwd PSH Flags""]"
Random_33,12,20260935,"[""Fwd IAT Max"", ""Fwd Packets Length Total"", ""Packet Length Mean"", ""Total Backward Packets"", ""Flow IAT Max"", ""URG Flag Count"", ""Subflow Fwd Bytes"", ""Bwd Packet Length Max"", ""Idle Std"", ""CWE Flag Count"", ""Flow Bytes/s"", ""Bwd Header Length""]"
Random_34,12,20260936,"[""Bwd Packet Length Min"", ""Subflow Bwd Packets"", ""Total Backward Packets"", ""Active Std"", ""Fwd PSH Flags"", ""Packet Length Max"", ""Idle Std"", ""Fwd Seg Size Min"", ""Bwd IAT Min"", ""Down/Up Ratio"", ""Init Fwd Win Bytes"", ""Fwd Packets/s""]"
