feature_name,success_group,successful_set_count,overall_sets_with_feature,successful_sets_with_feature,overall_frequency,successful_frequency,enrichment_ratio,successful_appearance_percentage
Init Fwd Win Bytes,beats_baseline_65,13,17,7,0.24285714285714285,0.5384615384615384,2.2171945701357467,53.84615384615385
Protocol,beats_baseline_65,13,19,7,0.2714285714285714,0.5384615384615384,1.9838056680161944,53.84615384615385
Fwd Packet Length Max,beats_baseline_65,13,20,6,0.2857142857142857,0.46153846153846156,1.6153846153846156,46.15384615384615
Flow Duration,beats_baseline_65,13,14,5,0.2,0.38461538461538464,1.9230769230769231,38.46153846153847
Flow IAT Min,beats_baseline_65,13,17,5,0.24285714285714285,0.38461538461538464,1.5837104072398192,38.46153846153847
Fwd Packet Length Mean,beats_baseline_65,13,19,5,0.2714285714285714,0.38461538461538464,1.4170040485829962,38.46153846153847
Subflow Fwd Packets,beats_baseline_65,13,19,5,0.2714285714285714,0.38461538461538464,1.4170040485829962,38.46153846153847
Bwd Packet Length Max,beats_baseline_65,13,20,5,0.2857142857142857,0.38461538461538464,1.3461538461538463,38.46153846153847
Bwd Packets/s,beats_baseline_65,13,20,5,0.2857142857142857,0.38461538461538464,1.3461538461538463,38.46153846153847
Fwd IAT Total,beats_baseline_65,13,12,4,0.17142857142857143,0.3076923076923077,1.794871794871795,30.76923076923077
Bwd IAT Std,beats_baseline_65,13,13,4,0.18571428571428572,0.3076923076923077,1.6568047337278107,30.76923076923077
Avg Packet Size,beats_baseline_65,13,14,4,0.2,0.3076923076923077,1.5384615384615385,30.76923076923077
Flow IAT Max,beats_baseline_65,13,14,4,0.2,0.3076923076923077,1.5384615384615385,30.76923076923077
Idle Max,beats_baseline_65,13,14,4,0.2,0.3076923076923077,1.5384615384615385,30.76923076923077
URG Flag Count,beats_baseline_65,13,14,4,0.2,0.3076923076923077,1.5384615384615385,30.76923076923077
Avg Fwd Segment Size,beats_baseline_65,13,16,4,0.22857142857142856,0.3076923076923077,1.3461538461538463,30.76923076923077
Bwd IAT Min,beats_baseline_65,13,16,4,0.22857142857142856,0.3076923076923077,1.3461538461538463,30.76923076923077
Flow IAT Mean,beats_baseline_65,13,17,4,0.24285714285714285,0.3076923076923077,1.2669683257918554,30.76923076923077
Idle Std,beats_baseline_65,13,17,4,0.24285714285714285,0.3076923076923077,1.2669683257918554,30.76923076923077
Active Max,beats_baseline_65,13,19,4,0.2714285714285714,0.3076923076923077,1.1336032388663968,30.76923076923077
Flow IAT Std,beats_baseline_65,13,19,4,0.2714285714285714,0.3076923076923077,1.1336032388663968,30.76923076923077
Total Fwd Packets,beats_baseline_65,13,19,4,0.2714285714285714,0.3076923076923077,1.1336032388663968,30.76923076923077
Bwd Header Length,beats_baseline_65,13,20,4,0.2857142857142857,0.3076923076923077,1.076923076923077,30.76923076923077
Init Bwd Win Bytes,beats_baseline_65,13,22,4,0.3142857142857143,0.3076923076923077,0.9790209790209791,30.76923076923077
Bwd Packet Length Mean,beats_baseline_65,13,12,3,0.17142857142857143,0.23076923076923078,1.3461538461538463,23.076923076923077
CWE Flag Count,beats_baseline_65,13,13,3,0.18571428571428572,0.23076923076923078,1.2426035502958581,23.076923076923077
Fwd Act Data Packets,beats_baseline_65,13,13,3,0.18571428571428572,0.23076923076923078,1.2426035502958581,23.076923076923077
Fwd IAT Mean,beats_baseline_65,13,13,3,0.18571428571428572,0.23076923076923078,1.2426035502958581,23.076923076923077
Packet Length Max,beats_baseline_65,13,13,3,0.18571428571428572,0.23076923076923078,1.2426035502958581,23.076923076923077
Flow Packets/s,beats_baseline_65,13,14,3,0.2,0.23076923076923078,1.1538461538461537,23.076923076923077
Packet Length Std,beats_baseline_65,13,14,3,0.2,0.23076923076923078,1.1538461538461537,23.076923076923077
ACK Flag Count,beats_baseline_65,13,17,3,0.24285714285714285,0.23076923076923078,0.9502262443438915,23.076923076923077
Packet Length Variance,beats_baseline_65,13,17,3,0.24285714285714285,0.23076923076923078,0.9502262443438915,23.076923076923077
Down/Up Ratio,beats_baseline_65,13,18,3,0.2571428571428571,0.23076923076923078,0.8974358974358976,23.076923076923077
Fwd IAT Max,beats_baseline_65,13,18,3,0.2571428571428571,0.23076923076923078,0.8974358974358976,23.076923076923077
Fwd Packet Length Std,beats_baseline_65,13,18,3,0.2571428571428571,0.23076923076923078,0.8974358974358976,23.076923076923077
Bwd IAT Max,beats_baseline_65,13,20,3,0.2857142857142857,0.23076923076923078,0.8076923076923078,23.076923076923077
Bwd Packets Length Total,beats_baseline_65,13,20,3,0.2857142857142857,0.23076923076923078,0.8076923076923078,23.076923076923077
Subflow Fwd Bytes,beats_baseline_65,13,24,3,0.34285714285714286,0.23076923076923078,0.6730769230769231,23.076923076923077
Fwd Seg Size Min,beats_baseline_65,13,10,2,0.14285714285714285,0.15384615384615385,1.076923076923077,15.384615384615385
Bwd IAT Total,beats_baseline_65,13,11,2,0.15714285714285714,0.15384615384615385,0.9790209790209791,15.384615384615385
Fwd IAT Min,beats_baseline_65,13,11,2,0.15714285714285714,0.15384615384615385,0.9790209790209791,15.384615384615385
Fwd IAT Std,beats_baseline_65,13,11,2,0.15714285714285714,0.15384615384615385,0.9790209790209791,15.384615384615385
Fwd PSH Flags,beats_baseline_65,13,11,2,0.15714285714285714,0.15384615384615385,0.9790209790209791,15.384615384615385
Fwd Packets Length Total,beats_baseline_65,13,11,2,0.15714285714285714,0.15384615384615385,0.9790209790209791,15.384615384615385
