experiment,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,f1_delta_vs_baseline_65,f1_delta_vs_top_10,baseline_comparison,top_10_comparison,beats_baseline_65,beats_top_10
Random_5_06,5,92.3076923076923,0.9328414995378852,0.9461903909235336,0.9747249771386634,0.9602457479343796,0.9439967372861456,37280,14124,6440,248357,0.9551370000117458,0.3135226999875158,-0.02317111600811883,-0.025763605687015634,Worse than reference,Worse than reference,False,False
Random_10_07,10,84.61538461538461,0.969833540713453,0.9906764285086282,0.97290391959089,0.9817097439126536,0.9693202488192932,49071,2333,6904,247893,1.4105532999965362,0.3923408999689854,-0.0017071200298447442,-0.0042996097087415475,Worse than reference,Worse than reference,False,False
Random_12_07,12,81.53846153846153,0.9770412245551124,0.9998063446339308,0.9725977935376006,0.98601440337405,0.9991893454014822,51356,48,6982,247815,1.8068844000226816,0.3216745000099763,0.00259753943155161,5.049752654806561e-06,Better than reference,Approximately equal to reference,True,True
Random_12_02,12,81.53846153846153,0.9753625886264252,0.998162512844277,0.972181776080566,0.9850008549353628,0.9962627333172608,50948,456,7088,247709,1.472720300022047,0.34864209999796,0.001583990992864437,-0.0010084986860323664,Better than reference,Worse than reference,True,False
Random_12_10,12,81.53846153846153,0.9749445625585808,0.9997896686877348,0.9700938394094122,0.9847179229761008,0.998908520806462,51352,52,7620,247177,1.5219268000219015,0.3437545000342652,0.0013010590336024475,-0.0012914306452943558,Better than reference,Worse than reference,True,False
Random_8_09,8,87.6923076923077,0.974673498780213,0.9995793731041456,0.9699721739266944,0.9845532390393728,0.9970393717975088,51300,104,7651,247146,1.0695074999821372,0.3450633999891579,0.0011363750968743647,-0.0014561145820224386,Better than reference,Worse than reference,True,False
Random_30_09,30,53.84615384615385,0.9718354936789888,0.996887552227358,0.9691793859425346,0.9828382207788072,0.9947351959492396,50633,771,7853,246944,2.054977099993266,0.3689158000051975,-0.0005786431636911615,-0.003171132842587965,Worse than reference,Worse than reference,False,False
Random_10_03,10,84.61538461538461,0.9735696486948116,0.999323990641116,0.9688928833541997,0.9838731854095468,0.987784040252719,51237,167,7926,246871,1.5403619999997318,0.3490792000084184,0.00045632146704843723,-0.002136168211848366,Better than reference,Worse than reference,True,False
Random_12_05,12,81.53846153846153,0.973612104467327,0.9997852712267496,0.9684964893621196,0.9838921893066463,0.999019942988592,51351,53,8027,246770,1.3617073000059463,0.3556962999864481,0.00047532536414796045,-0.002117164314748843,Better than reference,Worse than reference,True,False
Random_8_06,8,87.6923076923077,0.973331243202994,0.9994694057749712,0.9684650918181924,0.9837230162052264,0.9945176697409648,51273,131,8035,246762,1.5720995999872684,0.3219959000125527,0.00030615226272801,-0.0022863374161687933,Better than reference,Worse than reference,True,False
