experiment,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,f1_delta_vs_baseline_65,f1_delta_vs_top_10,baseline_comparison,top_10_comparison,beats_baseline_65,beats_top_10
Random_15_06,15,76.92307692307693,0.9689191086900436,0.9999143982194828,0.9627311153585012,0.9809705290140946,0.99662775198325,51383,21,9496,245301,1.4126832999754697,0.3404223000397905,-0.0024463349284037372,-0.0050388246073005405,Worse than reference,Worse than reference,False,False
Random_15_02,15,76.92307692307693,0.9238049516494068,0.9998920161025588,0.9085311051542994,0.9520247248171444,0.9878869746487344,51379,25,23306,231491,1.2112015999737196,0.3369421000243164,-0.03139213912535399,-0.033984628804250794,Worse than reference,Worse than reference,False,False
Random_30_03,30,53.84615384615385,0.9735696486948116,0.9998703235427608,0.9683630498004292,0.9838645041021602,0.9930688810125552,51372,32,8061,246736,2.6089426999678835,0.3891912000253796,0.0004476401596618107,-0.0021448495192349926,Better than reference,Worse than reference,True,False
Random_12_04,12,81.53846153846153,0.9728152422754988,0.9998580369347336,0.9674682197985064,0.9833964973870029,0.988767892505772,51369,35,8289,246508,1.7806969999801368,0.3680861000320874,-2.0366555495532346e-05,-0.0026128562343923356,Approximately equal to reference,Worse than reference,False,False
Random_15_09,15,76.92307692307693,0.9408754380292684,0.9998395060164126,0.929096496426567,0.963170764454824,0.9962842496120784,51366,38,18066,236731,1.2811066000140272,0.3408356999862008,-0.020246099487674418,-0.02283858916657122,Worse than reference,Worse than reference,False,False
Random_12_08,12,81.53846153846153,0.9498597326592664,0.9998246551551384,0.9399090256164712,0.9689414858645627,0.9974206139886894,51362,42,15311,239486,1.398795000044629,0.3615116999717429,-0.014475378077935641,-0.017067867756832444,Worse than reference,Worse than reference,False,False
Random_8_08,8,87.6923076923077,0.9418290599965382,0.9998228363894056,0.9302582055518708,0.9637868850459272,0.997720203913366,51362,42,17770,237027,1.1695585999987088,0.3171882000169717,-0.019629978896571143,-0.022222468575467946,Worse than reference,Worse than reference,False,False
Random_12_07,12,81.53846153846153,0.9770412245551124,0.9998063446339308,0.9725977935376006,0.98601440337405,0.9991893454014822,51356,48,6982,247815,1.8068844000226816,0.3216745000099763,0.00259753943155161,5.049752654806561e-06,Better than reference,Approximately equal to reference,True,True
Random_20_04,20,69.23076923076923,0.9731189643404168,0.9997972967494508,0.9678920866415224,0.9835860272841666,0.9994845551293476,51354,50,8181,246616,1.6160399000509642,0.3454438999760896,0.00016916334166816593,-0.0024233263372286373,Better than reference,Worse than reference,True,False
Random_15_04,15,76.92307692307693,0.943556683355051,0.9997895746883602,0.932365765687979,0.9649012714988088,0.9972614452181175,51354,50,17233,237564,1.3134206000249833,0.3365309999790042,-0.01851559244368961,-0.021108082122586413,Worse than reference,Worse than reference,False,False
