experiment,feature_count,feature_reduction_pct,accuracy,precision,recall,f1_score,roc_auc,true_negatives,false_positives,false_negatives,true_positives,training_time_seconds,test_prediction_time_seconds,f1_delta_vs_baseline_65,f1_delta_vs_top_10,baseline_comparison,top_10_comparison,beats_baseline_65,beats_top_10
Random_20_04,20,69.23076923076923,0.9731189643404168,0.9997972967494508,0.9678920866415224,0.9835860272841666,0.9994845551293476,51354,50,8181,246616,1.6160399000509642,0.3454438999760896,0.00016916334166816593,-0.0024233263372286373,Better than reference,Worse than reference,True,False
Random_20_05,20,69.23076923076923,0.966835510008132,0.9997711988363828,0.960364525484994,0.979671745227214,0.9992093977241232,51348,56,10099,244698,1.56744150002487,0.3316030999994837,-0.003745118715284379,-0.006337608394181182,Worse than reference,Worse than reference,False,False
Random_12_07,12,81.53846153846153,0.9770412245551124,0.9998063446339308,0.9725977935376006,0.98601440337405,0.9991893454014822,51356,48,6982,247815,1.8068844000226816,0.3216745000099763,0.00259753943155161,5.049752654806561e-06,Better than reference,Approximately equal to reference,True,True
Random_20_06,20,69.23076923076923,0.9495821372235884,0.9996993774608252,0.9396931675019722,0.9687679546833906,0.9991157523306312,51332,72,15366,239431,1.9739122000173663,0.324431299988646,-0.014648909259107779,-0.017241398938004582,Worse than reference,Worse than reference,False,False
Random_12_05,12,81.53846153846153,0.973612104467327,0.9997852712267496,0.9684964893621196,0.9838921893066463,0.999019942988592,51351,53,8027,246770,1.3617073000059463,0.3556962999864481,0.00047532536414796045,-0.002117164314748843,Better than reference,Worse than reference,True,False
Random_20_10,20,69.23076923076923,0.9734782054924708,0.9997366352519792,0.968382673265384,0.9838099054431492,0.9989435201212532,51339,65,8056,246741,1.6709340999950657,0.3328625000431202,0.00039304150065078147,-0.002199448178246022,Better than reference,Worse than reference,True,False
Random_12_10,12,81.53846153846153,0.9749445625585808,0.9997896686877348,0.9700938394094122,0.9847179229761008,0.998908520806462,51352,52,7620,247177,1.5219268000219015,0.3437545000342652,0.0013010590336024475,-0.0012914306452943558,Better than reference,Worse than reference,True,False
Random_20_09,20,69.23076923076923,0.97291974879246,0.9996068082967504,0.96783714093965,0.983465471309841,0.998686079417254,51307,97,8195,246602,1.4745112000382503,0.3455636999569833,4.860736734257909e-05,-0.002543882311554224,Approximately equal to reference,Worse than reference,True,False
Random_20_02,20,69.23076923076923,0.9587068624857528,0.999690470196407,0.9506705337974936,0.9745644739489036,0.9986610123915158,51329,75,12569,242228,1.5267565000103789,0.3318958000163547,-0.008852389993594834,-0.011444879672491637,Worse than reference,Worse than reference,False,False
Random_20_08,20,69.23076923076923,0.9729458754217,0.9997445659445586,0.9677350989218868,0.9834794470281352,0.9985617760436556,51341,63,8221,246576,1.6812803999637254,0.3443957000272348,6.258308563678039e-05,-0.002529906593260023,Approximately equal to reference,Worse than reference,True,False
